retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
mt5,8,bertQPP,2,0.1,0.25045035790916464,0.013850542246313378,0.22192982456140345,0.001359019813248218,97,True
mt5,8,bertQPP(QV),2,0.1,0.182034031823709,0.07588788395910964,0.1469298245614035,0.03394652748404876,97,False
mt5,8,bertQPP(QV),2,0.1,0.23094905720038308,0.023581167842282223,0.18815789473684208,0.006612180905745843,97,True
mt5,8,spatial,2,0.15,0.21156468780446272,0.03852423388572711,0.16798245614035084,0.015326584176287853,97,False
mt5,8,spatial,2,0.15,0.22535301696236035,0.027275324713273638,0.17631578947368418,0.010932545975931482,97,True
mt5,8,a_ratio,2,0.15,0.08059279554039933,0.43505435442457724,-0.0337719298245614,0.6259423572693519,97,False
mt5,8,a_ratio,2,0.15,0.12296575280850387,0.23264750949245994,0.017982456140350874,0.7952115822983997,97,True
mt5,8,nqc,2,0.15,0.048450621191456794,0.6392311143606807,0.09122807017543857,0.18792678491316706,97,False
mt5,8,nqc,2,0.15,0.07798797487617906,0.4500901803778041,0.11578947368421051,0.09467365840926534,97,True
mt5,8,bertQPP,2,0.15,0.22636770878307683,0.026571176309480492,0.181578947368421,0.008772032874754584,97,False
mt5,8,bertQPP,2,0.15,0.25628310469226073,0.01172206928294297,0.22368421052631576,0.0012442476040664947,97,True
mt5,8,bertQPP(QV),2,0.15,0.1889114288014958,0.06528011677075968,0.15131578947368418,0.028961443601471626,97,False
mt5,8,bertQPP(QV),2,0.15,0.23737828392540683,0.01987251513253268,0.1960526315789473,0.004658897081724128,97,True
mt5,8,spatial,2,0.2,0.21799417714248054,0.03287140678053552,0.1789473684210526,0.00979934996376251,97,False
mt5,8,spatial,2,0.2,0.22575776821856824,0.026992569696262486,0.17631578947368418,0.010932545975931482,97,True
mt5,8,a_ratio,2,0.2,0.08124316887811778,0.4313452085564976,-0.0337719298245614,0.6259423572693519,97,False
mt5,8,a_ratio,2,0.2,0.1236471148323769,0.2300494671460972,0.020175438596491225,0.7708972462356571,97,True
mt5,8,nqc,2,0.2,0.05376481846940813,0.6028813986614281,0.09999999999999998,0.1489229247512205,97,False
mt5,8,nqc,2,0.2,0.08519445355677474,0.40920180660658617,0.13026315789473683,0.06008783459643862,97,True
mt5,8,bertQPP,2,0.2,0.23330118758207147,0.02216102173773698,0.18552631578947365,0.007411025603920558,97,False
mt5,8,bertQPP,2,0.2,0.26236947667101373,0.009811030902353102,0.2271929824561403,0.0010410859719474062,97,True
mt5,8,bertQPP(QV),2,0.2,0.19635962526263412,0.05518302959176257,0.15482456140350873,0.025440028065994644,97,False
mt5,8,bertQPP(QV),2,0.2,0.244082110151063,0.016550420976484057,0.1960526315789473,0.004658897081724128,97,True
mt5,8,spatial,2,0.25,0.22435379260466792,0.0279841589232402,0.17938596491228065,0.00962101549816644,97,False
mt5,8,spatial,2,0.25,0.22621023553382,0.026679431810609902,0.17675438596491225,0.010735947690716544,97,True
mt5,8,a_ratio,2,0.25,0.08197996137122435,0.42716508316597923,-0.03245614035087718,0.6394595858942697,97,False
mt5,8,a_ratio,2,0.25,0.12441747508634746,0.22713660505421643,0.021929824561403504,0.7516053231626091,97,True
mt5,8,nqc,2,0.25,0.05975639526315582,0.5630357690788614,0.10438596491228068,0.13190012967467796,97,False
mt5,8,nqc,2,0.25,0.09324477296703712,0.3662015050095547,0.13859649122807016,0.04545413009688231,97,True
mt5,8,bertQPP,2,0.25,0.24071437573546528,0.018153896443424734,0.1864035087719298,0.00713560971179531,97,False
mt5,8,bertQPP,2,0.25,0.2686610118249121,0.008128255428373749,0.22763157894736838,0.0010179716220744474,97,True
mt5,8,bertQPP(QV),2,0.25,0.20440069828234125,0.045758018044295745,0.162719298245614,0.018843982626781136,97,False
mt5,8,bertQPP(QV),2,0.25,0.25100349624536533,0.013635211407195846,0.19692982456140345,0.004477815959740704,97,True
mt5,8,spatial,2,0.3,0.23051614452220806,0.023850841244031456,0.18245614035087715,0.008451628874483844,97,False
mt5,8,spatial,2,0.3,0.22671929952573944,0.026330820707038755,0.17719298245614032,0.010542498984637544,97,True
mt5,8,a_ratio,2,0.3,0.08282159258259529,0.4224187038573134,-0.03157894736842105,0.6485384145930861,97,False
mt5,8,a_ratio,2,0.3,0.12529544679932497,0.22384851004004455,0.024561403508771926,0.7229596147173131,97,True
mt5,8,nqc,2,0.3,0.06654626808065806,0.5194515003727838,0.11052631578947367,0.11065018092280728,97,False
mt5,8,nqc,2,0.3,0.10225470126553951,0.3215075459451915,0.13815789473684206,0.04614146023750493,97,True
mt5,8,bertQPP,2,0.3,0.24858313161195314,0.014599398968247655,0.18771929824561398,0.0067396961345085665,97,False
mt5,8,bertQPP,2,0.3,0.2750775068488672,0.006679187404032539,0.23070175438596488,0.000869004617248621,97,True
mt5,8,bertQPP(QV),2,0.3,0.2130339460656131,0.03716551650070682,0.16228070175438594,0.0191667093911976,97,False
mt5,8,bertQPP(QV),2,0.3,0.2580504269980329,0.01113624327710862,0.20131578947368417,0.0036645116996196075,97,True
mt5,8,spatial,2,0.35,0.23632622426655006,0.02044269852057575,0.18859649122807015,0.006486839186137605,97,False
mt5,8,spatial,2,0.35,0.2272961598674504,0.025940470319259484,0.1789473684210526,0.00979934996376251,97,True
mt5,8,a_ratio,2,0.35,0.0837921059330486,0.41698342575551056,-0.029824561403508764,0.6668525318175984,97,False
mt5,8,a_ratio,2,0.35,0.12630520739621415,0.22010843229597366,0.025877192982456138,0.7087781874777906,97,True
mt5,8,nqc,2,0.35,0.07427913767790416,0.4719901078906893,0.11447368421052628,0.09848323871599789,97,False
mt5,8,nqc,2,0.35,0.11234502305144653,0.2758070182341984,0.14035087719298242,0.04279048337179435,97,True
mt5,8,bertQPP,2,0.35,0.2568410000197423,0.01153430055607716,0.1960526315789473,0.004658897081724128,97,False
mt5,8,bertQPP,2,0.35,0.28149530539523226,0.0054632741145992595,0.23552631578947364,0.0006751892693239896,97,True
mt5,8,bertQPP(QV),2,0.35,0.2222197082933739,0.029550490061915655,0.16578947368421051,0.01671505177868845,97,False
mt5,8,bertQPP(QV),2,0.35,0.26508441833795293,0.009050662606532929,0.20614035087719296,0.0029268376346768604,97,True
mt5,8,spatial,2,0.4,0.2416036215059728,0.01771800860213918,0.18859649122807015,0.006486839186137605,97,False
mt5,8,spatial,2,0.4,0.2279551302493511,0.025500592005755506,0.17850877192982453,0.009980624249260547,97,True
mt5,8,a_ratio,2,0.4,0.0849234868887429,0.41069873588073036,-0.027631578947368417,0.6900262883984831,97,False
mt5,8,a_ratio,2,0.4,0.12747873816975047,0.21581744915453005,0.02807017543859649,0.6853673604806414,97,True
mt5,8,nqc,2,0.4,0.08312572645110033,0.4207110490347984,0.11754385964912278,0.08977892662724705,97,False
mt5,8,nqc,2,0.4,0.12362989273061553,0.23011488413742562,0.14035087719298242,0.04279048337179435,97,True
mt5,8,bertQPP,2,0.4,0.2653563882081956,0.008977423810763796,0.19561403508771927,0.004751901569999453,97,False
mt5,8,bertQPP,2,0.4,0.28773337000668164,0.00447407162108116,0.23947368421052628,0.0005473717769045106,97,True
mt5,8,bertQPP(QV),2,0.4,0.2318557654345006,0.02302478049575317,0.17105263157894732,0.013553592603324118,97,False
mt5,8,bertQPP(QV),2,0.4,0.27190795611819596,0.0073636285203905255,0.206578947368421,0.002866998129943633,97,True
mt5,8,spatial,2,0.45,0.24614896863252292,0.015628185008020816,0.19122807017543855,0.005778660719514659,97,False
mt5,8,spatial,2,0.45,0.22871477465823525,0.02500140562246591,0.17850877192982453,0.009980624249260547,97,True
mt5,8,a_ratio,2,0.45,0.08625922721632669,0.40335058313377814,-0.025877192982456138,0.7087781874777906,97,False
mt5,8,a_ratio,2,0.45,0.12885923560174772,0.21084599027142464,0.03289473684210526,0.6349402336051264,97,True
mt5,8,nqc,2,0.45,0.09328169974535766,0.3660108865522885,0.12061403508771927,0.08170491462400999,97,False
mt5,8,nqc,2,0.45,0.13619419220908835,0.18579574532652873,0.14342105263157892,0.03844648726633986,97,True
mt5,8,bertQPP,2,0.45,0.27390203318131473,0.006926162279223038,0.2039473684210526,0.00324348853932908,97,False
mt5,8,bertQPP,2,0.45,0.2935384629561364,0.0037003925251746722,0.23947368421052628,0.0005473717769045106,97,True
mt5,8,bertQPP(QV),2,0.45,0.2417450891705517,0.01764950313556889,0.17631578947368418,0.010932545975931482,97,False
mt5,8,bertQPP(QV),2,0.45,0.2782530090897043,0.006050504566022693,0.2083333333333333,0.002638644175947716,97,True
mt5,8,spatial,2,0.5,0.24975547355599043,0.014125235326696753,0.18859649122807015,0.006486839186137605,97,False
