retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
tct,15,bertQPP(QV),2,0.15,0.25897282886057704,0.010425804734446702,0.17912371134020622,0.009341755733078497,97,True
tct,15,spatial,2,0.2,0.06307292852140493,0.5393773099699568,0.03780068728522337,0.5833275904873889,97,False
tct,15,spatial,2,0.2,0.29919285550103214,0.002910664207763448,0.2130584192439863,0.0019900166497547295,97,True
tct,15,a_ratio,2,0.2,0.21432573597291926,0.03502564746221707,0.11769759450171824,0.08765026442852013,97,False
tct,15,a_ratio,2,0.2,0.3282151799322945,0.0010305219770444993,0.21391752577319592,0.001908041073171658,97,True
tct,15,nqc,2,0.2,0.13776432028183985,0.17841290028259363,0.0854810996563574,0.2148174024411691,97,False
tct,15,nqc,2,0.2,0.2515968295965978,0.012920763345047968,0.15807560137457047,0.021798803662876853,97,True
tct,15,bertQPP,2,0.2,0.24846412735723866,0.014128586808340117,0.1585051546391753,0.021443192891173694,97,False
tct,15,bertQPP,2,0.2,0.31757252077324083,0.0015261987988135866,0.21520618556701035,0.0017908788065225548,97,True
tct,15,bertQPP(QV),2,0.2,0.19264334740312608,0.05869521888700977,0.11426116838487975,0.09730564872611688,97,False
tct,15,bertQPP(QV),2,0.2,0.2725083129967263,0.006925362740984284,0.18771477663230243,0.006450561996249079,97,True
tct,15,spatial,2,0.25,0.08223777178655625,0.423243990519891,0.04810996563573884,0.4850959502795227,97,False
tct,15,spatial,2,0.25,0.3004401364714936,0.002789461166627757,0.21477663230240554,0.0018291772025326055,97,True
tct,15,a_ratio,2,0.25,0.2450730400474297,0.015545400629759672,0.12800687285223372,0.06323660544752113,97,False
tct,15,a_ratio,2,0.25,0.33629347610928334,0.0007576459333881598,0.21262886597938147,0.002032205430312129,97,True
tct,15,nqc,2,0.25,0.1399571774418966,0.17153473935573219,0.08805841924398626,0.2013104039967497,97,False
tct,15,nqc,2,0.25,0.25365698517600155,0.012176372082117467,0.1585051546391753,0.021443192891173694,97,True
tct,15,bertQPP,2,0.25,0.2640430987161373,0.008965582098187293,0.16623711340206188,0.015852745291372216,97,False
tct,15,bertQPP,2,0.25,0.33210206097965767,0.0008896723456548501,0.22293814432989695,0.0012160687743494618,97,True
tct,15,bertQPP(QV),2,0.25,0.2080115806646337,0.04090027820519651,0.12156357388316154,0.07772782073014356,97,False
tct,15,bertQPP(QV),2,0.25,0.28700873512558145,0.004367942619972895,0.1890034364261169,0.006094500520977148,97,True
tct,15,spatial,2,0.3,0.10298195616632615,0.31548562723520834,0.057130584192439875,0.4070878413580533,97,False
tct,15,spatial,2,0.3,0.3018505617788154,0.0026578847231381016,0.21520618556701035,0.0017908788065225548,97,True
tct,15,a_ratio,2,0.3,0.2721800731807632,0.00699607992104166,0.14261168384879727,0.03850326567762371,97,False
tct,15,a_ratio,2,0.3,0.34461879923195077,0.0005469878329601642,0.22207903780068733,0.0012702502748310276,97,True
tct,15,nqc,2,0.3,0.14245458683230794,0.16394153171755418,0.08977663230240551,0.19265661141875967,97,False
tct,15,nqc,2,0.3,0.2559909846312324,0.011378469288199244,0.16022336769759454,0.02007078628569656,97,True
tct,15,bertQPP,2,0.3,0.2810674919144904,0.005291026394543298,0.17654639175257736,0.010410504577977625,97,False
tct,15,bertQPP,2,0.3,0.3475650439512873,0.0004863675768332869,0.23238831615120278,0.0007456571945733053,97,True
tct,15,bertQPP(QV),2,0.3,0.224889627510329,0.02678453861107805,0.12800687285223372,0.06323660544752113,97,False
tct,15,bertQPP(QV),2,0.3,0.3024507065790516,0.002603611448098943,0.1911512027491409,0.005540236417616152,97,True
tct,15,spatial,2,0.35,0.12527493111190283,0.22146440855009406,0.06829896907216496,0.32163912125241456,97,False
tct,15,spatial,2,0.35,0.3034581658718216,0.00251474141118256,0.21606529209621997,0.0017164841150655054,97,True
tct,15,a_ratio,2,0.35,0.29526537077328735,0.0033238182080547298,0.14647766323024058,0.03354022455213661,97,False
tct,15,a_ratio,2,0.35,0.3531294096561438,0.00038838131095721433,0.23024054982817874,0.0008346209629654949,97,True
tct,15,nqc,2,0.35,0.14532425164222407,0.15552758132268918,0.09063573883161513,0.18843365829791547,97,False
tct,15,nqc,2,0.35,0.2586567659942579,0.010523360385300813,0.16108247422680416,0.01941379508307944,97,True
tct,15,bertQPP,2,0.35,0.29955592689021904,0.002874904216005797,0.18556701030927839,0.00708575590459897,97,False
tct,15,bertQPP,2,0.35,0.36385588096209565,0.00024877341638465504,0.2414089347079038,0.0004598488311252096,97,True
