retriever,k,qpp_method,alpha,r,p1(r),tau,p1(tau),rho,p1(rho),num_of_queries,with_0shot_posterior
mt5,3,a_ratio,0.3,0.1102491162962847,0.2823601022388959,0.01589347079037801,0.817600546341627,0.015200925731117188,0.8825168150929962,97,False
mt5,3,a_ratio,0.3,0.14022125686438516,0.17071978647497713,0.033505154639175264,0.6268270582661877,0.04063223227435304,0.6927273733876687,97,True
mt5,3,nqc,0.3,-0.09082313350077047,0.37629769480918085,-0.08118556701030928,0.23875904036666062,-0.11714969492951818,0.2531327215226353,97,False
mt5,3,nqc,0.3,-0.18726876935480766,0.06624547339420885,-0.17225085910652924,0.012434959394241826,-0.24898748159057435,0.013920230970914793,97,True
mt5,3,bertQPP,0.3,0.34684269684335983,0.000500630971839959,0.20575601374570449,0.0028288190417010725,0.29335419734904267,0.003543272362956987,97,False
mt5,3,bertQPP,0.3,0.21030562275918577,0.03867738496402269,0.09192439862542956,0.1822278457949571,0.13846517988638754,0.176192959219885,97,True
mt5,3,spatial,0.35,0.22806920883243342,0.024652752268456743,0.1207044673539519,0.07984982362376257,0.19521880917315376,0.05533486163772494,97,False
mt5,3,spatial,0.35,0.29647191332111045,0.003191626445758811,0.21950171821305847,0.0014464512863097319,0.3209551861981906,0.0013491654302435964,97,True
mt5,3,a_ratio,0.35,0.11652439866613823,0.2556923117968854,0.018041237113402064,0.7934766269227447,0.023971702082895008,0.8157095919350228,97,False
mt5,3,a_ratio,0.35,0.14224647216535527,0.16456460636123815,0.02920962199312715,0.6716645680851198,0.04031664212076583,0.6949955278953408,97,True
mt5,3,nqc,0.35,-0.08763806320516701,0.3933325201310041,-0.08204467353951891,0.23382603249144784,-0.11678150641699978,0.2546377314115127,97,False
mt5,3,nqc,0.35,-0.18638660243228777,0.06755685665360721,-0.17182130584192443,0.01265543298933369,-0.24662055543867026,0.01488426430495316,97,True
