k,retriever,task,target_metric,QPP_Method,Spearman,Kendall
5,bm25,dl,f1,avg(perpC),0.0717,0.0548
5,bm25,dl,f1,itg(perpC),0.2914,0.2019
5,bm25,dl,f1,max(docQual),0.2146,0.1442
5,bm25,dl,f1,min(docQual),0.2567,0.1778
5,bm25,dl,f1,avg(docQual),0.2829,0.201
5,bm25,dl,f1,itg(docQual),0.0412,0.0236
5,bm25,dl,utility,nqc,0.041,0.0301
5,bm25,dl,utility,maxScore,0.2208,0.1465
5,bm25,dl,utility,spatial,0.4987,0.3406
5,bm25,dl,utility,a_ratio,0.1513,0.0979
5,bm25,dl,utility,bertQPP,0.2613,0.1808
5,bm25,dl,utility,prob(k),0.4546,0.326
5,bm25,dl,utility,max(perpC),-0.2189,-0.1528
5,bm25,dl,utility,min(perpC),0.1155,0.0754
5,bm25,dl,utility,avg(perpC),-0.0755,-0.0488
5,bm25,dl,utility,itg(perpC),0.1878,0.1371
5,bm25,dl,utility,max(docQual),0.1523,0.1005
5,bm25,dl,utility,min(docQual),0.228,0.1545
5,bm25,dl,utility,avg(docQual),0.2544,0.1697
5,bm25,dl,utility,itg(docQual),-0.0256,-0.021
5,mt5,nq,f1,nqc,-0.1042,-0.0796
5,mt5,nq,f1,maxScore,0.2105,0.1603
5,mt5,nq,f1,spatial,0.2241,0.1698
5,mt5,nq,f1,a_ratio,-0.0682,-0.052
5,mt5,nq,f1,bertQPP,0.1333,0.1009
5,mt5,nq,f1,prob(k),0.3225,0.2435
5,mt5,nq,f1,max(perpC),0.1181,0.0899
5,mt5,nq,f1,min(perpC),0.1059,0.0805
5,mt5,nq,f1,avg(perpC),0.1365,0.1036
5,mt5,nq,f1,itg(perpC),0.1485,0.1126
5,mt5,nq,f1,max(docQual),0.0632,0.0489
5,mt5,nq,f1,min(docQual),0.0518,0.0397
5,mt5,nq,f1,avg(docQual),0.0843,0.0639
5,mt5,nq,f1,itg(docQual),0.0223,0.017
5,mt5,nq,f1,itg(Dale Chall),0.0633,0.0479
5,mt5,nq,f1,itg(Spache),0.0808,0.0613
5,mt5,nq,f1,itg(Flesch-Kincaid),0.0357,0.0273
5,mt5,nq,f1,itg(Flesch),-0.0217,-0.0166
5,mt5,nq,f1,itg(Gunning Fog),0.0309,0.0235
5,mt5,nq,f1,itg(Coleman Liau),-0.0026,-0.002
5,mt5,nq,f1,itg(ARI),0.0291,0.0223
5,mt5,nq,f1,itg(Linsear Write),0.049,0.0373
5,mt5,nq,utility,nqc,-0.035,-0.0255
5,mt5,nq,utility,maxScore,0.1556,0.1145
5,mt5,nq,utility,spatial,0.1422,0.1038
5,mt5,nq,utility,a_ratio,-0.0081,-0.0058
5,mt5,nq,utility,bertQPP,0.12,0.0885
5,mt5,nq,utility,prob(k),0.195,0.1432
5,mt5,nq,utility,max(perpC),0.039,0.0285
5,mt5,nq,utility,min(perpC),0.0465,0.034
5,mt5,nq,utility,avg(perpC),0.053,0.0388
5,mt5,nq,utility,itg(perpC),0.0733,0.0538
5,mt5,nq,utility,max(docQual),0.0613,0.0455
5,mt5,nq,utility,min(docQual),0.0296,0.0216
5,mt5,nq,utility,avg(docQual),0.0534,0.0388
5,mt5,nq,utility,itg(docQual),0.0321,0.0237
5,mt5,nq,utility,itg(Dale Chall),0.0096,0.0071
5,mt5,nq,utility,itg(Spache),0.0216,0.0158
5,mt5,nq,utility,itg(Flesch-Kincaid),-0.0375,-0.0274
5,mt5,nq,utility,itg(Flesch),0.0494,0.0361
5,mt5,nq,utility,itg(Gunning Fog),-0.0238,-0.017
5,mt5,nq,utility,itg(Coleman Liau),-0.0566,-0.0417
5,mt5,nq,utility,itg(ARI),-0.0387,-0.0282
5,mt5,nq,utility,itg(Linsear Write),-0.0149,-0.0107
5,mt5,dl,f1,nqc,-0.0435,-0.0296
5,mt5,dl,f1,maxScore,0.0944,0.061
5,mt5,dl,f1,spatial,0.3784,0.2784
5,mt5,dl,f1,a_ratio,-0.0748,-0.0537
5,mt5,dl,f1,bertQPP,0.1734,0.1173
5,mt5,dl,f1,prob(k),0.6267,0.4669
5,mt5,dl,f1,max(perpC),0.1112,0.0782
5,mt5,dl,f1,min(perpC),0.3159,0.2263
5,mt5,dl,f1,avg(perpC),0.2498,0.1705
5,mt5,dl,f1,itg(perpC),0.3043,0.2116
5,mt5,dl,f1,max(docQual),0.1888,0.1273
5,mt5,dl,f1,min(docQual),0.0896,0.0727
5,mt5,dl,f1,avg(docQual),0.2097,0.1452
5,mt5,dl,f1,itg(docQual),0.0456,0.0302
5,mt5,dl,utility,nqc,0.0129,0.0107
5,mt5,dl,utility,maxScore,0.1649,0.1082
5,mt5,dl,utility,spatial,0.2225,0.1529
5,mt5,dl,utility,a_ratio,0.0436,0.0253
5,mt5,dl,utility,bertQPP,0.282,0.198
5,mt5,dl,utility,prob(k),0.5472,0.4008
5,mt5,dl,utility,max(perpC),-0.1113,-0.0752
5,mt5,dl,utility,min(perpC),0.0941,0.0561
5,mt5,dl,utility,avg(perpC),-0.0263,-0.0279
5,mt5,dl,utility,itg(perpC),0.1192,0.0767
5,mt5,dl,utility,max(docQual),0.0844,0.0602
5,mt5,dl,utility,min(docQual),-0.0149,-0.0071
5,mt5,dl,utility,avg(docQual),0.0825,0.0515
5,mt5,dl,utility,itg(docQual),-0.0531,-0.0384
5,e5,nq,f1,nqc,0.1693,0.1276
5,e5,nq,f1,maxScore,0.1792,0.1346
5,e5,nq,f1,spatial,0.1484,0.1112
5,e5,nq,f1,a_ratio,0.2093,0.1584
5,e5,nq,f1,bertQPP,0.1291,0.0972
5,e5,nq,f1,prob(k),0.3048,0.2289
5,e5,nq,f1,max(perpC),0.0656,0.0497
5,e5,nq,f1,min(perpC),0.0481,0.0364
5,e5,nq,f1,avg(perpC),0.0686,0.0519
5,e5,nq,f1,itg(perpC),0.0922,0.0696
5,e5,nq,f1,max(docQual),0.0609,0.0466
5,e5,nq,f1,min(docQual),0.0362,0.0276
5,e5,nq,f1,avg(docQual),0.0666,0.0502
5,e5,nq,f1,itg(docQual),0.0264,0.0199
5,e5,nq,f1,itg(Dale Chall),0.011,0.0083
5,e5,nq,f1,itg(Spache),0.0086,0.0064
5,e5,nq,f1,itg(Flesch-Kincaid),-0.024,-0.0178
5,e5,nq,f1,itg(Flesch),0.0293,0.0221
5,e5,nq,f1,itg(Gunning Fog),-0.0435,-0.0328
5,e5,nq,f1,itg(Coleman Liau),-0.0316,-0.0239
5,e5,nq,f1,itg(ARI),-0.028,-0.0209
5,e5,nq,f1,itg(Linsear Write),-0.0135,-0.01
5,e5,nq,utility,nqc,0.147,0.1072
5,e5,nq,utility,maxScore,0.0798,0.0577
5,e5,nq,utility,spatial,0.0492,0.0355
5,e5,nq,utility,a_ratio,0.1623,0.1185
5,e5,nq,utility,bertQPP,0.1071,0.0784
5,e5,nq,utility,prob(k),0.1767,0.1286
5,e5,nq,utility,max(perpC),-0.0126,-0.0091
5,e5,nq,utility,min(perpC),-0.0172,-0.0124
5,e5,nq,utility,avg(perpC),-0.0257,-0.0186
5,e5,nq,utility,itg(perpC),0.0026,0.0021
5,e5,nq,utility,max(docQual),0.0524,0.0382
5,e5,nq,utility,min(docQual),0.0044,0.0032
5,e5,nq,utility,avg(docQual),0.0337,0.0245
5,e5,nq,utility,itg(docQual),0.0327,0.0239
5,e5,nq,utility,itg(Dale Chall),-0.0369,-0.0269
5,e5,nq,utility,itg(Spache),-0.0463,-0.034
5,e5,nq,utility,itg(Flesch-Kincaid),-0.0811,-0.0588
5,e5,nq,utility,itg(Flesch),0.0808,0.0588
5,e5,nq,utility,itg(Gunning Fog),-0.0788,-0.0572
5,e5,nq,utility,itg(Coleman Liau),-0.0693,-0.0506
5,e5,nq,utility,itg(ARI),-0.0797,-0.0579
5,e5,nq,utility,itg(Linsear Write),-0.07,-0.051
5,e5,dl,f1,nqc,0.0452,0.0387
5,e5,dl,f1,maxScore,0.4604,0.3213
5,e5,dl,f1,spatial,0.2694,0.1856
5,e5,dl,f1,a_ratio,0.0233,0.0189
5,e5,dl,f1,bertQPP,0.1239,0.0855
5,e5,dl,f1,prob(k),0.5383,0.3875
5,e5,dl,f1,max(perpC),0.1378,0.0958
5,e5,dl,f1,min(perpC),0.2674,0.1852
5,e5,dl,f1,avg(perpC),0.2275,0.1529
5,e5,dl,f1,itg(perpC),0.2967,0.2073
5,e5,dl,f1,max(docQual),-0.005,0.002
5,e5,dl,f1,min(docQual),0.0724,0.0593
5,e5,dl,f1,avg(docQual),0.0778,0.0571
5,e5,dl,f1,itg(docQual),0.0185,0.0155
5,e5,dl,utility,nqc,0.1252,0.0911
5,e5,dl,utility,maxScore,0.3741,0.2577
5,e5,dl,utility,spatial,0.1348,0.0936
5,e5,dl,utility,a_ratio,0.076,0.0533
5,e5,dl,utility,bertQPP,0.1721,0.1207
5,e5,dl,utility,prob(k),0.4178,0.2955
5,e5,dl,utility,max(perpC),-0.0408,-0.0348
5,e5,dl,utility,min(perpC),0.1063,0.0735
5,e5,dl,utility,avg(perpC),0.0143,0.012
5,e5,dl,utility,itg(perpC),0.1466,0.0964
5,e5,dl,utility,max(docQual),-0.116,-0.0727
5,e5,dl,utility,min(docQual),-0.0819,-0.0537
5,e5,dl,utility,avg(docQual),-0.0487,-0.0288
5,e5,dl,utility,itg(docQual),-0.092,-0.0574
7,bm25,nq,f1,nqc,0.156,0.1195
7,bm25,nq,f1,maxScore,0.1622,0.1246
7,bm25,nq,f1,spatial,0.1897,0.145
7,bm25,nq,f1,a_ratio,0.1419,0.1088
7,bm25,nq,f1,bertQPP,0.188,0.1442
7,bm25,nq,f1,prob(k),0.3856,0.295
7,bm25,nq,f1,max(perpC),0.0988,0.0762
7,bm25,nq,f1,min(perpC),0.0553,0.0426
7,bm25,nq,f1,avg(perpC),0.0767,0.0592
7,bm25,nq,f1,itg(perpC),0.0752,0.0581
7,bm25,nq,f1,max(docQual),0.0548,0.0426
7,bm25,nq,f1,min(docQual),0.0534,0.0413
7,bm25,nq,f1,avg(docQual),0.0674,0.0517
7,bm25,nq,f1,itg(docQual),0.0353,0.0272
7,bm25,nq,f1,max(Dale Chall),0.0452,0.0345
7,bm25,nq,f1,min(Dale Chall),0.073,0.0562
7,bm25,nq,f1,avg(Dale Chall),0.0828,0.0634
7,bm25,nq,f1,itg(Dale Chall),0.0819,0.0627
7,bm25,nq,f1,max(Spache),0.0248,0.0191
7,bm25,nq,f1,min(Spache),0.0772,0.0593
7,bm25,nq,f1,avg(Spache),0.0626,0.048
7,bm25,nq,f1,itg(Spache),0.063,0.0484
7,bm25,nq,f1,max(Flesch-Kincaid),0.0216,0.0165
7,bm25,nq,f1,min(Flesch-Kincaid),0.0711,0.0542
7,bm25,nq,f1,avg(Flesch-Kincaid),0.061,0.0466
7,bm25,nq,f1,itg(Flesch-Kincaid),0.0654,0.05
7,bm25,nq,f1,max(Flesch),-0.0699,-0.0533
7,bm25,nq,f1,min(Flesch),-0.0354,-0.0272
7,bm25,nq,f1,avg(Flesch),-0.0634,-0.0484
7,bm25,nq,f1,itg(Flesch),-0.0668,-0.051
7,bm25,nq,f1,max(Gunning Fog),0.0082,0.0062
7,bm25,nq,f1,min(Gunning Fog),0.0466,0.0353
7,bm25,nq,f1,avg(Gunning Fog),0.0439,0.0333
7,bm25,nq,f1,itg(Gunning Fog),0.0492,0.0374
7,bm25,nq,f1,max(Coleman Liau),0.0237,0.0181
7,bm25,nq,f1,min(Coleman Liau),0.0441,0.034
7,bm25,nq,f1,avg(Coleman Liau),0.0333,0.0257
7,bm25,nq,f1,itg(Coleman Liau),0.0305,0.0236
7,bm25,nq,f1,max(ARI),0.0092,0.007
7,bm25,nq,f1,min(ARI),0.0494,0.0377
7,bm25,nq,f1,avg(ARI),0.039,0.0299
7,bm25,nq,f1,itg(ARI),0.0443,0.0337
7,bm25,nq,f1,max(Linsear Write),0.0103,0.0079
7,bm25,nq,f1,min(Linsear Write),0.0499,0.0382
7,bm25,nq,f1,avg(Linsear Write),0.0432,0.033
7,bm25,nq,f1,itg(Linsear Write),0.0501,0.0384
7,bm25,nq,utility,nqc,0.1581,0.1166
7,bm25,nq,utility,maxScore,0.1372,0.1011
7,bm25,nq,utility,spatial,0.1298,0.0953
7,bm25,nq,utility,a_ratio,0.1505,0.1108
7,bm25,nq,utility,bertQPP,0.1643,0.1213
7,bm25,nq,utility,prob(k),0.2256,0.1671
7,bm25,nq,utility,max(perpC),0.0397,0.0293
7,bm25,nq,utility,min(perpC),0.008,0.006
7,bm25,nq,utility,avg(perpC),0.0203,0.0151
7,bm25,nq,utility,itg(perpC),0.0222,0.0166
7,bm25,nq,utility,max(docQual),0.0266,0.0197
7,bm25,nq,utility,min(docQual),0.0349,0.026
7,bm25,nq,utility,avg(docQual),0.0289,0.0213
7,bm25,nq,utility,itg(docQual),0.0292,0.0216
7,bm25,nq,utility,max(Dale Chall),0.0149,0.011
7,bm25,nq,utility,min(Dale Chall),-0.0052,-0.0037
7,bm25,nq,utility,avg(Dale Chall),0.0163,0.0122
7,bm25,nq,utility,itg(Dale Chall),0.0179,0.0134
7,bm25,nq,utility,max(Spache),0.0021,0.0016
7,bm25,nq,utility,min(Spache),-0.0019,-0.0012
7,bm25,nq,utility,avg(Spache),0.0019,0.0014
7,bm25,nq,utility,itg(Spache),0.0027,0.0022
7,bm25,nq,utility,max(Flesch-Kincaid),-0.0264,-0.0195
7,bm25,nq,utility,min(Flesch-Kincaid),0.0076,0.0055
7,bm25,nq,utility,avg(Flesch-Kincaid),-0.0092,-0.0067
7,bm25,nq,utility,itg(Flesch-Kincaid),-0.0068,-0.0052
7,bm25,nq,utility,max(Flesch),-0.0073,-0.0052
7,bm25,nq,utility,min(Flesch),0.0201,0.0148
7,bm25,nq,utility,avg(Flesch),0.0012,0.001
7,bm25,nq,utility,itg(Flesch),-0.0002,0.0
7,bm25,nq,utility,max(Gunning Fog),-0.0221,-0.0163
7,bm25,nq,utility,min(Gunning Fog),0.002,0.0014
7,bm25,nq,utility,avg(Gunning Fog),-0.0055,-0.004
7,bm25,nq,utility,itg(Gunning Fog),-0.0032,-0.0024
7,bm25,nq,utility,max(Coleman Liau),-0.0183,-0.0135
7,bm25,nq,utility,min(Coleman Liau),0.0064,0.0047
7,bm25,nq,utility,avg(Coleman Liau),-0.0094,-0.007
7,bm25,nq,utility,itg(Coleman Liau),-0.0119,-0.0088
7,bm25,nq,utility,max(ARI),-0.0326,-0.0238
7,bm25,nq,utility,min(ARI),0.0052,0.0036
7,bm25,nq,utility,avg(ARI),-0.0189,-0.014
7,bm25,nq,utility,itg(ARI),-0.0185,-0.0138
7,bm25,nq,utility,max(Linsear Write),-0.026,-0.0192
7,bm25,nq,utility,min(Linsear Write),-0.0072,-0.0053
7,bm25,nq,utility,avg(Linsear Write),-0.0218,-0.0161
7,bm25,nq,utility,itg(Linsear Write),-0.0152,-0.0114
7,bm25,dl,f1,nqc,-0.0328,-0.0289
7,bm25,dl,f1,maxScore,0.1978,0.1303
7,bm25,dl,f1,spatial,0.4528,0.311
7,bm25,dl,f1,a_ratio,0.0933,0.0535
7,bm25,dl,f1,bertQPP,0.129,0.0877
7,bm25,dl,f1,prob(k),0.5836,0.4263
7,bm25,dl,f1,max(perpC),0.0678,0.0369
7,bm25,dl,f1,min(perpC),0.2896,0.1977
7,bm25,dl,f1,avg(perpC),0.2023,0.1305
7,bm25,dl,f1,itg(perpC),0.3302,0.2247
7,bm25,dl,f1,max(docQual),0.2404,0.1611
7,bm25,dl,f1,min(docQual),0.1722,0.1312
7,bm25,dl,f1,avg(docQual),0.2257,0.1667
7,bm25,dl,f1,itg(docQual),0.0223,0.0126
7,bm25,dl,utility,nqc,0.0581,0.0412
7,bm25,dl,utility,maxScore,0.2235,0.1496
7,bm25,dl,utility,spatial,0.4241,0.2917
7,bm25,dl,utility,a_ratio,0.187,0.1184
7,bm25,dl,utility,bertQPP,0.2722,0.1868
7,bm25,dl,utility,prob(k),0.4175,0.2991
7,bm25,dl,utility,max(perpC),-0.0904,-0.065
7,bm25,dl,utility,min(perpC),0.1318,0.0814
7,bm25,dl,utility,avg(perpC),0.0113,0.0015
7,bm25,dl,utility,itg(perpC),0.2226,0.147
7,bm25,dl,utility,max(docQual),0.2194,0.1518
7,bm25,dl,utility,min(docQual),0.1818,0.1255
7,bm25,dl,utility,avg(docQual),0.2123,0.1482
7,bm25,dl,utility,itg(docQual),-0.0145,-0.0135
7,mt5,nq,f1,nqc,-0.0862,-0.0661
7,mt5,nq,f1,maxScore,0.205,0.1568
7,mt5,nq,f1,spatial,0.1859,0.1407
7,mt5,nq,f1,a_ratio,-0.0636,-0.0485
7,mt5,nq,f1,bertQPP,0.1368,0.1037
7,mt5,nq,f1,prob(k),0.3494,0.2639
7,mt5,nq,f1,max(perpC),0.0986,0.0751
7,mt5,nq,f1,min(perpC),0.0684,0.052
7,mt5,nq,f1,avg(perpC),0.1002,0.076
7,mt5,nq,f1,itg(perpC),0.1098,0.083
7,mt5,nq,f1,max(docQual),0.062,0.048
7,mt5,nq,f1,min(docQual),0.0402,0.0309
7,mt5,nq,f1,avg(docQual),0.0722,0.0549
7,mt5,nq,f1,itg(docQual),0.0132,0.0099
7,mt5,nq,f1,max(Dale Chall),0.0229,0.0173
7,mt5,nq,f1,min(Dale Chall),0.0791,0.0599
7,mt5,nq,f1,avg(Dale Chall),0.0692,0.0523
7,mt5,nq,f1,itg(Dale Chall),0.0692,0.0524
7,mt5,nq,f1,max(Spache),0.0197,0.0149
7,mt5,nq,f1,min(Spache),0.0794,0.0605
7,mt5,nq,f1,avg(Spache),0.0656,0.0499
7,mt5,nq,f1,itg(Spache),0.0688,0.0523
7,mt5,nq,f1,max(Flesch-Kincaid),-0.003,-0.0024
7,mt5,nq,f1,min(Flesch-Kincaid),0.051,0.0386
7,mt5,nq,f1,avg(Flesch-Kincaid),0.0253,0.0189
7,mt5,nq,f1,itg(Flesch-Kincaid),0.0336,0.0255
7,mt5,nq,f1,max(Flesch),-0.0503,-0.038
7,mt5,nq,f1,min(Flesch),-0.001,-0.0008
7,mt5,nq,f1,avg(Flesch),-0.0279,-0.0209
7,mt5,nq,f1,itg(Flesch),-0.032,-0.0241
7,mt5,nq,f1,max(Gunning Fog),-0.0213,-0.0164
7,mt5,nq,f1,min(Gunning Fog),0.0249,0.0186
7,mt5,nq,f1,avg(Gunning Fog),0.0138,0.0102
7,mt5,nq,f1,itg(Gunning Fog),0.02,0.0151
7,mt5,nq,f1,max(Coleman Liau),0.0032,0.0023
7,mt5,nq,f1,min(Coleman Liau),0.0188,0.0142
7,mt5,nq,f1,avg(Coleman Liau),0.0106,0.008
7,mt5,nq,f1,itg(Coleman Liau),0.0106,0.0081
7,mt5,nq,f1,max(ARI),-0.0079,-0.0062
7,mt5,nq,f1,min(ARI),0.0386,0.0292
7,mt5,nq,f1,avg(ARI),0.0152,0.0115
7,mt5,nq,f1,itg(ARI),0.0286,0.0218
7,mt5,nq,f1,max(Linsear Write),0.0002,0.0001
7,mt5,nq,f1,min(Linsear Write),0.0351,0.0268
7,mt5,nq,f1,avg(Linsear Write),0.0256,0.0194
7,mt5,nq,f1,itg(Linsear Write),0.034,0.0259
7,mt5,nq,utility,nqc,-0.0133,-0.0097
7,mt5,nq,utility,maxScore,0.149,0.1099
7,mt5,nq,utility,spatial,0.1049,0.0768
7,mt5,nq,utility,a_ratio,-0.0005,-0.0001
7,mt5,nq,utility,bertQPP,0.1216,0.0895
7,mt5,nq,utility,prob(k),0.2145,0.1581
7,mt5,nq,utility,max(perpC),0.0191,0.0139
7,mt5,nq,utility,min(perpC),0.004,0.0029
7,mt5,nq,utility,avg(perpC),0.0118,0.0087
7,mt5,nq,utility,itg(perpC),0.0323,0.0237
7,mt5,nq,utility,max(docQual),0.0615,0.0458
7,mt5,nq,utility,min(docQual),0.0219,0.0166
7,mt5,nq,utility,avg(docQual),0.0447,0.033
7,mt5,nq,utility,itg(docQual),0.0203,0.015
7,mt5,nq,utility,max(Dale Chall),-0.0154,-0.0113
7,mt5,nq,utility,min(Dale Chall),0.0038,0.0029
7,mt5,nq,utility,avg(Dale Chall),0.0065,0.0047
7,mt5,nq,utility,itg(Dale Chall),0.0078,0.0058
7,mt5,nq,utility,max(Spache),-0.0144,-0.0107
7,mt5,nq,utility,min(Spache),-0.0019,-0.0014
7,mt5,nq,utility,avg(Spache),-0.0008,-0.0006
7,mt5,nq,utility,itg(Spache),0.001,0.0005
7,mt5,nq,utility,max(Flesch-Kincaid),-0.0564,-0.0416
7,mt5,nq,utility,min(Flesch-Kincaid),-0.0214,-0.0159
7,mt5,nq,utility,avg(Flesch-Kincaid),-0.0513,-0.0378
7,mt5,nq,utility,itg(Flesch-Kincaid),-0.0451,-0.0332
7,mt5,nq,utility,max(Flesch),0.0215,0.0159
7,mt5,nq,utility,min(Flesch),0.0562,0.0414
7,mt5,nq,utility,avg(Flesch),0.042,0.031
7,mt5,nq,utility,itg(Flesch),0.0399,0.0292
7,mt5,nq,utility,max(Gunning Fog),-0.0557,-0.0411
7,mt5,nq,utility,min(Gunning Fog),-0.0229,-0.017
7,mt5,nq,utility,avg(Gunning Fog),-0.0406,-0.0297
7,mt5,nq,utility,itg(Gunning Fog),-0.0359,-0.0263
7,mt5,nq,utility,max(Coleman Liau),-0.0513,-0.0377
7,mt5,nq,utility,min(Coleman Liau),-0.0293,-0.0216
7,mt5,nq,utility,avg(Coleman Liau),-0.0383,-0.0281
7,mt5,nq,utility,itg(Coleman Liau),-0.0378,-0.0278
7,mt5,nq,utility,max(ARI),-0.057,-0.0421
7,mt5,nq,utility,min(ARI),-0.0278,-0.0204
7,mt5,nq,utility,avg(ARI),-0.0527,-0.0387
7,mt5,nq,utility,itg(ARI),-0.0442,-0.0323
7,mt5,nq,utility,max(Linsear Write),-0.0471,-0.0348
7,mt5,nq,utility,min(Linsear Write),-0.0325,-0.0244
7,mt5,nq,utility,avg(Linsear Write),-0.0474,-0.0349
7,mt5,nq,utility,itg(Linsear Write),-0.0383,-0.0281
7,mt5,dl,f1,nqc,-0.0447,-0.0377
7,mt5,dl,f1,maxScore,0.0679,0.0408
7,mt5,dl,f1,spatial,0.4028,0.2895
7,mt5,dl,f1,a_ratio,-0.0819,-0.0592
7,mt5,dl,f1,bertQPP,0.1732,0.118
7,mt5,dl,f1,prob(k),0.583,0.4189
7,mt5,dl,f1,max(perpC),0.0573,0.0347
7,mt5,dl,f1,min(perpC),0.2298,0.1595
7,mt5,dl,f1,avg(perpC),0.1897,0.1351
7,mt5,dl,f1,itg(perpC),0.2664,0.1819
7,mt5,dl,f1,max(docQual),0.0268,0.0109
7,mt5,dl,f1,min(docQual),-0.0005,0.0049
7,mt5,dl,f1,avg(docQual),0.0645,0.0487
7,mt5,dl,f1,itg(docQual),-0.0482,-0.0252
7,mt5,dl,utility,nqc,0.0118,0.0048
7,mt5,dl,utility,maxScore,0.1532,0.1
7,mt5,dl,utility,spatial,0.2411,0.1575
7,mt5,dl,utility,a_ratio,0.0209,0.0105
7,mt5,dl,utility,bertQPP,0.2682,0.1886
7,mt5,dl,utility,prob(k),0.4784,0.3368
7,mt5,dl,utility,max(perpC),-0.0412,-0.0303
7,mt5,dl,utility,min(perpC),0.0051,0.0033
7,mt5,dl,utility,avg(perpC),-0.0367,-0.0294
7,mt5,dl,utility,itg(perpC),0.1261,0.0823
7,mt5,dl,utility,max(docQual),-0.0733,-0.0498
7,mt5,dl,utility,min(docQual),-0.1332,-0.0958
7,mt5,dl,utility,avg(docQual),-0.0735,-0.0465
7,mt5,dl,utility,itg(docQual),-0.1737,-0.1146
7,e5,nq,f1,nqc,0.1698,0.1287
7,e5,nq,f1,maxScore,0.1707,0.1286
7,e5,nq,f1,spatial,0.1245,0.0938
7,e5,nq,f1,a_ratio,0.1938,0.147
7,e5,nq,f1,bertQPP,0.1317,0.0992
7,e5,nq,f1,prob(k),0.342,0.2572
7,e5,nq,f1,max(perpC),0.0674,0.0511
7,e5,nq,f1,min(perpC),0.0225,0.017
7,e5,nq,f1,avg(perpC),0.0595,0.0448
7,e5,nq,f1,itg(perpC),0.079,0.0597
7,e5,nq,f1,max(docQual),0.0449,0.0345
7,e5,nq,f1,min(docQual),0.0137,0.0104
7,e5,nq,f1,avg(docQual),0.0427,0.0322
7,e5,nq,f1,itg(docQual),0.0005,0.0004
7,e5,nq,f1,max(Dale Chall),0.0094,0.0071
7,e5,nq,f1,min(Dale Chall),0.0244,0.0185
7,e5,nq,f1,avg(Dale Chall),0.019,0.0146
7,e5,nq,f1,itg(Dale Chall),0.0206,0.0156
7,e5,nq,f1,max(Spache),0.0144,0.0109
7,e5,nq,f1,min(Spache),0.0252,0.0191
7,e5,nq,f1,avg(Spache),0.0118,0.0089
7,e5,nq,f1,itg(Spache),0.0117,0.0087
7,e5,nq,f1,max(Flesch-Kincaid),-0.0352,-0.0268
7,e5,nq,f1,min(Flesch-Kincaid),-0.0159,-0.012
7,e5,nq,f1,avg(Flesch-Kincaid),-0.0317,-0.0236
7,e5,nq,f1,itg(Flesch-Kincaid),-0.0267,-0.02
7,e5,nq,f1,max(Flesch),0.0139,0.0106
7,e5,nq,f1,min(Flesch),0.0495,0.0376
7,e5,nq,f1,avg(Flesch),0.0327,0.0247
7,e5,nq,f1,itg(Flesch),0.0296,0.0223
7,e5,nq,f1,max(Gunning Fog),-0.0456,-0.0344
7,e5,nq,f1,min(Gunning Fog),-0.0283,-0.0214
7,e5,nq,f1,avg(Gunning Fog),-0.0463,-0.0348
7,e5,nq,f1,itg(Gunning Fog),-0.0443,-0.0333
7,e5,nq,f1,max(Coleman Liau),-0.0427,-0.0323
7,e5,nq,f1,min(Coleman Liau),0.0017,0.0012
7,e5,nq,f1,avg(Coleman Liau),-0.0254,-0.0193
7,e5,nq,f1,itg(Coleman Liau),-0.0258,-0.0196
7,e5,nq,f1,max(ARI),-0.0389,-0.0296
7,e5,nq,f1,min(ARI),0.003,0.0022
7,e5,nq,f1,avg(ARI),-0.0306,-0.023
7,e5,nq,f1,itg(ARI),-0.0252,-0.0189
7,e5,nq,f1,max(Linsear Write),-0.015,-0.0115
7,e5,nq,f1,min(Linsear Write),-0.0042,-0.0032
7,e5,nq,f1,avg(Linsear Write),-0.02,-0.015
7,e5,nq,f1,itg(Linsear Write),-0.0168,-0.0127
7,e5,nq,utility,nqc,0.1532,0.1119
7,e5,nq,utility,maxScore,0.0727,0.0526
7,e5,nq,utility,spatial,0.0216,0.0156
7,e5,nq,utility,a_ratio,0.1424,0.1037
7,e5,nq,utility,bertQPP,0.1063,0.078
7,e5,nq,utility,prob(k),0.2154,0.1575
7,e5,nq,utility,max(perpC),-0.018,-0.0128
7,e5,nq,utility,min(perpC),-0.0534,-0.039
7,e5,nq,utility,avg(perpC),-0.0387,-0.0281
7,e5,nq,utility,itg(perpC),-0.016,-0.0115
7,e5,nq,utility,max(docQual),0.0382,0.0281
7,e5,nq,utility,min(docQual),-0.0198,-0.0146
7,e5,nq,utility,avg(docQual),0.0065,0.0047
7,e5,nq,utility,itg(docQual),0.0031,0.0022
7,e5,nq,utility,max(Dale Chall),-0.016,-0.0116
7,e5,nq,utility,min(Dale Chall),-0.0355,-0.0261
7,e5,nq,utility,avg(Dale Chall),-0.0272,-0.0198
7,e5,nq,utility,itg(Dale Chall),-0.0242,-0.0177
7,e5,nq,utility,max(Spache),-0.0094,-0.0069
7,e5,nq,utility,min(Spache),-0.0282,-0.0207
7,e5,nq,utility,avg(Spache),-0.0323,-0.0237
7,e5,nq,utility,itg(Spache),-0.0362,-0.0266
7,e5,nq,utility,max(Flesch-Kincaid),-0.0625,-0.0458
7,e5,nq,utility,min(Flesch-Kincaid),-0.0598,-0.0436
