k,retriever,task,target_metric,QPP_Method,Spearman,Kendall
2,mt5,nq,utility,itg(Spache),0.0538,0.0392
2,mt5,nq,utility,itg(Flesch-Kincaid),-0.0139,-0.0102
2,mt5,nq,utility,itg(Flesch),0.039,0.0287
2,mt5,nq,utility,itg(Gunning Fog),0.002,0.0014
2,mt5,nq,utility,itg(Coleman Liau),-0.0733,-0.0538
2,mt5,nq,utility,itg(ARI),-0.0261,-0.0191
2,mt5,nq,utility,itg(Linsear Write),0.0113,0.0084
2,mt5,dl,f1,nqc,-0.1075,-0.0769
2,mt5,dl,f1,maxScore,0.1462,0.0988
2,mt5,dl,f1,spatial,0.3862,0.2865
2,mt5,dl,f1,a_ratio,-0.1476,-0.1027
2,mt5,dl,f1,bertQPP,0.2,0.1319
2,mt5,dl,f1,prob(k),0.5298,0.3832
2,mt5,dl,f1,max(perpC),0.1673,0.1132
2,mt5,dl,f1,min(perpC),0.3553,0.2499
2,mt5,dl,f1,avg(perpC),0.2801,0.1963
2,mt5,dl,f1,itg(perpC),0.3036,0.2098
2,mt5,dl,f1,max(docQual),0.3142,0.2119
2,mt5,dl,f1,min(docQual),0.3267,0.2298
2,mt5,dl,f1,avg(docQual),0.3464,0.2393
2,mt5,dl,f1,itg(docQual),0.1763,0.1194
2,mt5,dl,utility,nqc,-0.0816,-0.0653
2,mt5,dl,utility,maxScore,0.1898,0.1336
2,mt5,dl,utility,spatial,0.2409,0.177
2,mt5,dl,utility,a_ratio,-0.0596,-0.0421
2,mt5,dl,utility,bertQPP,0.2587,0.1761
2,mt5,dl,utility,prob(k),0.3449,0.2384
2,mt5,dl,utility,max(perpC),-0.0528,-0.0217
2,mt5,dl,utility,min(perpC),0.0569,0.0449
2,mt5,dl,utility,avg(perpC),0.0063,0.009
2,mt5,dl,utility,itg(perpC),0.043,0.0335
2,mt5,dl,utility,max(docQual),0.1325,0.0909
2,mt5,dl,utility,min(docQual),0.1942,0.1413
2,mt5,dl,utility,avg(docQual),0.1869,0.1306
2,mt5,dl,utility,itg(docQual),0.0604,0.0443
2,e5,nq,f1,nqc,0.121,0.091
2,e5,nq,f1,maxScore,0.2344,0.1763
2,e5,nq,f1,spatial,0.1922,0.1444
2,e5,nq,f1,a_ratio,0.247,0.1877
2,e5,nq,f1,bertQPP,0.163,0.1225
2,e5,nq,f1,prob(k),0.2873,0.2153
2,e5,nq,f1,max(perpC),0.1395,0.1051
2,e5,nq,f1,min(perpC),0.1307,0.0986
2,e5,nq,f1,avg(perpC),0.1455,0.1096
2,e5,nq,f1,itg(perpC),0.1571,0.1183
2,e5,nq,f1,max(docQual),0.0839,0.0641
2,e5,nq,f1,min(docQual),0.0852,0.0646
2,e5,nq,f1,avg(docQual),0.0958,0.0722
2,e5,nq,f1,itg(docQual),0.0185,0.0139
2,e5,nq,f1,itg(Dale Chall),0.0634,0.0473
2,e5,nq,f1,itg(Spache),0.0542,0.0406
2,e5,nq,f1,itg(Flesch-Kincaid),-0.0041,-0.003
2,e5,nq,f1,itg(Flesch),0.017,0.0127
2,e5,nq,f1,itg(Gunning Fog),-0.0214,-0.0159
2,e5,nq,f1,itg(Coleman Liau),-0.0436,-0.0327
2,e5,nq,f1,itg(ARI),-0.0167,-0.0125
2,e5,nq,f1,itg(Linsear Write),0.0099,0.0075
2,e5,nq,utility,nqc,0.0994,0.0724
2,e5,nq,utility,maxScore,0.1288,0.0934
2,e5,nq,utility,spatial,0.1025,0.0747
2,e5,nq,utility,a_ratio,0.1913,0.1404
2,e5,nq,utility,bertQPP,0.1352,0.0986
2,e5,nq,utility,prob(k),0.147,0.1074
2,e5,nq,utility,max(perpC),0.0363,0.0262
2,e5,nq,utility,min(perpC),0.0384,0.0279
2,e5,nq,utility,avg(perpC),0.0387,0.0281
2,e5,nq,utility,itg(perpC),0.0576,0.0418
2,e5,nq,utility,max(docQual),0.0495,0.0364
2,e5,nq,utility,min(docQual),0.0352,0.0258
2,e5,nq,utility,avg(docQual),0.0469,0.034
2,e5,nq,utility,itg(docQual),0.012,0.0088
2,e5,nq,utility,itg(Dale Chall),0.0217,0.0157
2,e5,nq,utility,itg(Spache),0.0002,-0.0002
2,e5,nq,utility,itg(Flesch-Kincaid),-0.056,-0.0409
2,e5,nq,utility,itg(Flesch),0.0649,0.0474
2,e5,nq,utility,itg(Gunning Fog),-0.0503,-0.0367
2,e5,nq,utility,itg(Coleman Liau),-0.0761,-0.0556
2,e5,nq,utility,itg(ARI),-0.0633,-0.0461
2,e5,nq,utility,itg(Linsear Write),-0.0417,-0.0305
2,e5,dl,f1,nqc,-0.0149,-0.0176
2,e5,dl,f1,maxScore,0.4551,0.323
2,e5,dl,f1,spatial,0.2677,0.2062
2,e5,dl,f1,a_ratio,0.0022,0.0026
2,e5,dl,f1,bertQPP,0.1904,0.1336
2,e5,dl,f1,prob(k),0.3745,0.2676
2,e5,dl,f1,max(perpC),0.2036,0.1418
2,e5,dl,f1,min(perpC),0.2213,0.1493
2,e5,dl,f1,avg(perpC),0.2303,0.1562
2,e5,dl,f1,itg(perpC),0.2027,0.1366
2,e5,dl,f1,max(docQual),0.0566,0.0448
2,e5,dl,f1,min(docQual),0.0333,0.0276
2,e5,dl,f1,avg(docQual),0.0451,0.0423
2,e5,dl,f1,itg(docQual),0.0717,0.0506
2,e5,dl,utility,nqc,0.1516,0.0988
2,e5,dl,utility,maxScore,0.3591,0.2556
2,e5,dl,utility,spatial,0.1291,0.1044
2,e5,dl,utility,a_ratio,0.044,0.0228
2,e5,dl,utility,bertQPP,0.2162,0.146
2,e5,dl,utility,prob(k),0.267,0.1907
2,e5,dl,utility,max(perpC),-0.0053,0.0004
2,e5,dl,utility,min(perpC),0.0382,0.02
2,e5,dl,utility,avg(perpC),0.018,0.0088
2,e5,dl,utility,itg(perpC),0.0129,0.0099
2,e5,dl,utility,max(docQual),0.0043,0.0063
2,e5,dl,utility,min(docQual),0.0584,0.0427
2,e5,dl,utility,avg(docQual),0.0423,0.0324
2,e5,dl,utility,itg(docQual),0.0566,0.0367
3,bm25,nq,f1,nqc,0.1072,0.0821
3,bm25,nq,f1,maxScore,0.1509,0.1155
3,bm25,nq,f1,spatial,0.2203,0.1678
3,bm25,nq,f1,a_ratio,0.1452,0.1111
3,bm25,nq,f1,bertQPP,0.2094,0.1602
3,bm25,nq,f1,prob(k),0.308,0.2347
3,bm25,nq,f1,max(perpC),0.1215,0.0929
3,bm25,nq,f1,min(perpC),0.0855,0.0653
3,bm25,nq,f1,avg(perpC),0.1184,0.0905
3,bm25,nq,f1,itg(perpC),0.1197,0.0912
3,bm25,nq,f1,max(docQual),0.0854,0.0656
3,bm25,nq,f1,min(docQual),0.0733,0.0563
3,bm25,nq,f1,avg(docQual),0.0933,0.0711
3,bm25,nq,f1,itg(docQual),0.0354,0.0271
3,bm25,nq,f1,itg(Dale Chall),0.115,0.0876
3,bm25,nq,f1,itg(Spache),0.094,0.0715
3,bm25,nq,f1,itg(Flesch-Kincaid),0.0532,0.0402
3,bm25,nq,f1,itg(Flesch),-0.0462,-0.0349
3,bm25,nq,f1,itg(Gunning Fog),0.0444,0.0336
3,bm25,nq,f1,itg(Coleman Liau),-0.0042,-0.003
3,bm25,nq,f1,itg(ARI),0.0244,0.0184
3,bm25,nq,f1,itg(Linsear Write),0.0503,0.0381
3,bm25,nq,utility,nqc,0.1127,0.0833
3,bm25,nq,utility,maxScore,0.1312,0.0968
3,bm25,nq,utility,spatial,0.1667,0.1225
3,bm25,nq,utility,a_ratio,0.1638,0.1213
3,bm25,nq,utility,bertQPP,0.1881,0.1393
3,bm25,nq,utility,prob(k),0.1554,0.1151
3,bm25,nq,utility,max(perpC),0.0665,0.0487
3,bm25,nq,utility,min(perpC),0.0362,0.0267
3,bm25,nq,utility,avg(perpC),0.0635,0.0466
3,bm25,nq,utility,itg(perpC),0.0702,0.0515
3,bm25,nq,utility,max(docQual),0.0601,0.0446
3,bm25,nq,utility,min(docQual),0.0552,0.0409
3,bm25,nq,utility,avg(docQual),0.0619,0.0455
3,bm25,nq,utility,itg(docQual),0.0206,0.0152
3,bm25,nq,utility,itg(Dale Chall),0.0619,0.0454
3,bm25,nq,utility,itg(Spache),0.0385,0.0282
3,bm25,nq,utility,itg(Flesch-Kincaid),-0.0084,-0.0063
3,bm25,nq,utility,itg(Flesch),0.013,0.0098
3,bm25,nq,utility,itg(Gunning Fog),0.0042,0.0028
3,bm25,nq,utility,itg(Coleman Liau),-0.0409,-0.0303
3,bm25,nq,utility,itg(ARI),-0.0285,-0.0211
3,bm25,nq,utility,itg(Linsear Write),-0.0059,-0.0042
3,bm25,dl,f1,nqc,-0.0953,-0.0631
3,bm25,dl,f1,maxScore,0.1713,0.113
3,bm25,dl,f1,spatial,0.3859,0.2685
3,bm25,dl,f1,a_ratio,0.093,0.0601
3,bm25,dl,f1,bertQPP,0.2115,0.1465
3,bm25,dl,f1,prob(k),0.491,0.3505
3,bm25,dl,f1,max(perpC),0.0168,0.0118
3,bm25,dl,f1,min(perpC),0.161,0.1055
3,bm25,dl,f1,avg(perpC),0.0702,0.0475
3,bm25,dl,f1,itg(perpC),0.2821,0.1968
3,bm25,dl,f1,max(docQual),0.2261,0.1618
3,bm25,dl,f1,min(docQual),0.1874,0.1428
3,bm25,dl,f1,avg(docQual),0.2532,0.1817
3,bm25,dl,f1,itg(docQual),0.0339,0.0255
3,bm25,dl,utility,nqc,0.0041,-0.0034
3,bm25,dl,utility,maxScore,0.1137,0.079
3,bm25,dl,utility,spatial,0.3429,0.2397
3,bm25,dl,utility,a_ratio,0.1737,0.1181
3,bm25,dl,utility,bertQPP,0.3039,0.2088
3,bm25,dl,utility,prob(k),0.3345,0.2281
3,bm25,dl,utility,max(perpC),-0.1106,-0.0754
3,bm25,dl,utility,min(perpC),0.0497,0.0303
3,bm25,dl,utility,avg(perpC),-0.052,-0.0372
3,bm25,dl,utility,itg(perpC),0.1993,0.1263
3,bm25,dl,utility,max(docQual),0.1664,0.119
3,bm25,dl,utility,min(docQual),0.1946,0.1342
3,bm25,dl,utility,avg(docQual),0.2301,0.1615
3,bm25,dl,utility,itg(docQual),0.0029,-0.0026
3,mt5,nq,f1,nqc,-0.1389,-0.1059
3,mt5,nq,f1,maxScore,0.2382,0.1816
3,mt5,nq,f1,spatial,0.2643,0.2008
3,mt5,nq,f1,a_ratio,-0.0608,-0.0463
