Prediction Name,QA Task,Retriever,Top-Retrieved Docs,Use_Postgen,Combination_Number,Rho,Tau,Best Single Signal,Best Single Rho,Best Single Tau,Number of Queries
RPP,nq,bm25,2,True,p01,0.253433225901948,0.1889259175448297,bertQPP,0.1898,0.1416,3610
RPP,nq,bm25,2,True,p02,0.2413079556228405,0.1798700764790885,bertQPP,0.1898,0.1416,3610
RPP,nq,bm25,2,True,p03,0.2415422330172384,0.1804038833519815,bertQPP,0.1898,0.1416,3610
RPP,nq,bm25,2,True,p12,0.1651181125748816,0.123015114330355,prob(k),0.1468,0.1095,3610
RPP,nq,bm25,2,True,p13,0.1802694090493196,0.1341201093607804,prob(k),0.1468,0.1095,3610
RPP,nq,bm25,2,True,p23,0.1622097744044592,0.1208168417554922,prob(k),0.1468,0.1095,3610
RPP,nq,bm25,2,True,p012,0.251268697502381,0.1873679112050634,bertQPP,0.1898,0.1416,3610
RPP,nq,bm25,2,True,p013,0.2573350201277463,0.1920702438845228,bertQPP,0.1898,0.1416,3610
RPP,nq,bm25,2,True,p023,0.2430511663328515,0.1811037970311496,bertQPP,0.1898,0.1416,3610
RPP,nq,bm25,2,True,p123,0.1733794357539867,0.1290523417075159,prob(k),0.1468,0.1095,3610
RPP,nq,bm25,2,True,p0123,0.2538693131636836,0.1894665196961613,bertQPP,0.1898,0.1416,3610
GPP,dl,bm25,2,False,p0,0.2763517778245318,0.1915807560137457,spatial,0.3492,0.2427,97
GPP,dl,bm25,2,False,p1,0.1752182831895644,0.1116838487972508,itg(perpC),0.1951,0.1285,97
GPP,dl,bm25,2,False,p2,0.3350120976225541,0.2345360824742268,avg(docQual),0.3132,0.227,97
GPP,dl,bm25,2,False,p01,0.3247028192720387,0.2293814432989691,spatial,0.3492,0.2427,97
GPP,dl,bm25,2,False,p02,0.3409031138228486,0.2444158075601375,spatial,0.3492,0.2427,97
GPP,dl,bm25,2,False,p03,0.2763517778245318,0.1915807560137457,spatial,0.3492,0.2427,97
GPP,dl,bm25,2,False,p12,0.3105144119503471,0.2126288659793814,avg(docQual),0.3132,0.227,97
GPP,dl,bm25,2,False,p13,0.1752182831895644,0.1116838487972508,itg(perpC),0.1951,0.1285,97
