qid,qpp_estimate,parameters,qpp_method
test_1116,1602.007568359375,{'k': 3},spatial
test_1117,1575.5662841796875,{'k': 3},spatial
test_1118,1798.468505859375,{'k': 3},spatial
test_1119,1723.4130859375,{'k': 3},spatial
test_112,1627.788818359375,{'k': 3},spatial
test_1120,1606.8148193359375,{'k': 3},spatial
test_1121,1740.501953125,{'k': 3},spatial
test_1122,1546.1640625,{'k': 3},spatial
test_1123,1482.763427734375,{'k': 3},spatial
test_1124,1673.761474609375,{'k': 3},spatial
test_1125,1680.998046875,{'k': 3},spatial
test_1126,1383.41064453125,{'k': 3},spatial
test_1127,1538.5628662109375,{'k': 3},spatial
test_1128,1555.3779296875,{'k': 3},spatial
test_1129,1560.822021484375,{'k': 3},spatial
test_113,1601.7513427734375,{'k': 3},spatial
test_1130,1715.408203125,{'k': 3},spatial
test_1131,1621.77685546875,{'k': 3},spatial
test_1132,1524.451416015625,{'k': 3},spatial
test_1133,1561.7181396484375,{'k': 3},spatial
test_1134,1406.405517578125,{'k': 3},spatial
test_1135,1645.8818359375,{'k': 3},spatial
test_1136,1765.5247802734375,{'k': 3},spatial
test_1137,1407.8956298828125,{'k': 3},spatial
test_1138,1401.100341796875,{'k': 3},spatial
test_1139,1672.27490234375,{'k': 3},spatial
test_114,1554.44091796875,{'k': 3},spatial
test_1140,1410.1546630859375,{'k': 3},spatial
test_1141,1610.524169921875,{'k': 3},spatial
test_1142,1697.05126953125,{'k': 3},spatial
test_1143,1727.47119140625,{'k': 3},spatial
test_1144,1565.582763671875,{'k': 3},spatial
test_1145,1450.683349609375,{'k': 3},spatial
test_1146,1650.326171875,{'k': 3},spatial
test_1147,1709.241455078125,{'k': 3},spatial
test_1148,1663.4765625,{'k': 3},spatial
test_1149,1579.8802490234375,{'k': 3},spatial
test_115,1526.704833984375,{'k': 3},spatial
test_1150,1246.862548828125,{'k': 3},spatial
test_1151,1760.885009765625,{'k': 3},spatial
test_1152,1514.465576171875,{'k': 3},spatial
test_1153,1613.864501953125,{'k': 3},spatial
test_1154,1563.614990234375,{'k': 3},spatial
test_1155,1455.94140625,{'k': 3},spatial
test_1156,1552.301025390625,{'k': 3},spatial
test_1157,1495.26611328125,{'k': 3},spatial
test_1158,1533.93212890625,{'k': 3},spatial
test_1159,1562.865234375,{'k': 3},spatial
test_116,1464.7396240234375,{'k': 3},spatial
test_1160,1589.95751953125,{'k': 3},spatial
test_1161,1550.8477783203125,{'k': 3},spatial
test_1162,1554.340087890625,{'k': 3},spatial
test_1163,1617.686279296875,{'k': 3},spatial
test_1164,1516.0411376953125,{'k': 3},spatial
test_1165,1628.6998291015625,{'k': 3},spatial
test_1166,1588.794921875,{'k': 3},spatial
test_1167,1745.22412109375,{'k': 3},spatial
test_1168,1587.1669921875,{'k': 3},spatial
test_1169,1474.2706298828125,{'k': 3},spatial
test_117,1525.2510986328125,{'k': 3},spatial
test_1170,1714.956787109375,{'k': 3},spatial
test_1171,1462.5987548828125,{'k': 3},spatial
test_1172,1452.392822265625,{'k': 3},spatial
test_1173,1642.17919921875,{'k': 3},spatial
test_1174,1564.1331787109375,{'k': 3},spatial
test_1175,1562.818359375,{'k': 3},spatial
test_1176,1521.053955078125,{'k': 3},spatial
test_1177,1741.9188232421875,{'k': 3},spatial
test_1178,1477.557861328125,{'k': 3},spatial
test_1179,1535.135498046875,{'k': 3},spatial
test_118,1565.3067626953125,{'k': 3},spatial
test_1180,1418.5430908203125,{'k': 3},spatial
test_1181,1997.8585205078125,{'k': 3},spatial
test_1182,1339.8193359375,{'k': 3},spatial
test_1183,1607.79296875,{'k': 3},spatial
test_1184,1336.42431640625,{'k': 3},spatial
test_1185,1475.41015625,{'k': 3},spatial
test_1186,1664.5643310546875,{'k': 3},spatial
test_1187,1541.620361328125,{'k': 3},spatial
test_1188,1560.42333984375,{'k': 3},spatial
test_1189,1708.6876220703125,{'k': 3},spatial
test_119,1345.156494140625,{'k': 3},spatial
test_1190,1466.0399169921875,{'k': 3},spatial
test_1191,1562.050048828125,{'k': 3},spatial
test_1192,1427.3406982421875,{'k': 3},spatial
test_1193,1621.220703125,{'k': 3},spatial
test_1194,1503.9129638671875,{'k': 3},spatial
test_1195,1420.909912109375,{'k': 3},spatial
test_1196,1498.7823486328125,{'k': 3},spatial
test_1197,1645.566162109375,{'k': 3},spatial
test_1198,1498.6815185546875,{'k': 3},spatial
test_1199,1626.90625,{'k': 3},spatial
test_12,1635.1146240234375,{'k': 3},spatial
test_120,1612.5576171875,{'k': 3},spatial
test_1200,1314.2509765625,{'k': 3},spatial
test_1201,1658.313232421875,{'k': 3},spatial
test_1202,1384.3438720703125,{'k': 3},spatial
test_1203,1348.564697265625,{'k': 3},spatial
test_1204,1398.09765625,{'k': 3},spatial
test_1205,1622.6326904296875,{'k': 3},spatial
test_1206,1678.7415771484375,{'k': 3},spatial
test_1207,1650.4136962890625,{'k': 3},spatial
test_1208,1415.963134765625,{'k': 3},spatial
test_1209,1635.0595703125,{'k': 3},spatial
test_121,1641.4769287109375,{'k': 3},spatial
test_1210,1628.9521484375,{'k': 3},spatial
test_1211,1535.02734375,{'k': 3},spatial
test_1212,1547.815185546875,{'k': 3},spatial
test_1213,1483.689453125,{'k': 3},spatial
test_1214,1400.1396484375,{'k': 3},spatial
test_1215,1609.35546875,{'k': 3},spatial
test_1216,1465.593017578125,{'k': 3},spatial
test_1217,1736.640625,{'k': 3},spatial
test_1218,1558.809814453125,{'k': 3},spatial
test_1219,1629.318115234375,{'k': 3},spatial
test_122,2176.580078125,{'k': 3},spatial
test_1220,1606.6834716796875,{'k': 3},spatial
test_1221,1516.3662109375,{'k': 3},spatial
test_1222,1568.63134765625,{'k': 3},spatial
test_1223,1531.4619140625,{'k': 3},spatial
test_1224,1492.62255859375,{'k': 3},spatial
test_1225,1645.774658203125,{'k': 3},spatial
test_1226,1621.419189453125,{'k': 3},spatial
test_1227,1404.865234375,{'k': 3},spatial
test_1228,1477.039306640625,{'k': 3},spatial
test_1229,1632.62890625,{'k': 3},spatial
test_123,1535.8018798828125,{'k': 3},spatial
test_1230,1565.290771484375,{'k': 3},spatial
test_1231,1367.76025390625,{'k': 3},spatial
test_1232,1613.1097412109375,{'k': 3},spatial
test_1233,1506.935546875,{'k': 3},spatial
test_1234,1480.0,{'k': 3},spatial
test_1235,1785.97314453125,{'k': 3},spatial
test_1236,1648.934814453125,{'k': 3},spatial
test_1237,1508.2763671875,{'k': 3},spatial
test_1238,1708.35693359375,{'k': 3},spatial
test_1239,1556.423583984375,{'k': 3},spatial
test_124,1542.41015625,{'k': 3},spatial
test_1240,1541.833251953125,{'k': 3},spatial
test_1241,1487.6455078125,{'k': 3},spatial
test_1242,1562.649169921875,{'k': 3},spatial
test_1243,1559.718505859375,{'k': 3},spatial
test_1244,1639.576171875,{'k': 3},spatial
test_1245,1613.44482421875,{'k': 3},spatial
