qid,qpp_estimate,parameters,qpp_method
test_1517,1528.747802734375,{'k': 3},spatial
test_1518,1760.666748046875,{'k': 3},spatial
test_1519,1592.6473388671875,{'k': 3},spatial
test_152,1566.9111328125,{'k': 3},spatial
test_1520,1684.395263671875,{'k': 3},spatial
test_1521,1351.5347900390625,{'k': 3},spatial
test_1522,1509.393310546875,{'k': 3},spatial
test_1523,1731.0526123046875,{'k': 3},spatial
test_1524,1769.6905517578125,{'k': 3},spatial
test_1525,1446.5029296875,{'k': 3},spatial
test_1526,1476.8658447265625,{'k': 3},spatial
test_1527,1653.02490234375,{'k': 3},spatial
test_1528,1643.302734375,{'k': 3},spatial
test_1529,1732.423095703125,{'k': 3},spatial
test_153,1536.3311767578125,{'k': 3},spatial
test_1530,1470.1441650390625,{'k': 3},spatial
test_1531,1504.725341796875,{'k': 3},spatial
test_1532,1738.1409912109375,{'k': 3},spatial
test_1533,1543.6824951171875,{'k': 3},spatial
test_1534,1691.966552734375,{'k': 3},spatial
test_1535,1507.886962890625,{'k': 3},spatial
test_1536,1530.18701171875,{'k': 3},spatial
test_1537,1734.4671630859375,{'k': 3},spatial
test_1538,1629.7919921875,{'k': 3},spatial
test_1539,1571.81494140625,{'k': 3},spatial
test_154,1495.9161376953125,{'k': 3},spatial
test_1540,1617.88916015625,{'k': 3},spatial
test_1541,1430.76611328125,{'k': 3},spatial
test_1542,1630.4912109375,{'k': 3},spatial
test_1543,1469.2626953125,{'k': 3},spatial
test_1544,1448.3203125,{'k': 3},spatial
test_1545,1538.484375,{'k': 3},spatial
test_1546,1635.173583984375,{'k': 3},spatial
test_1547,1503.1138916015625,{'k': 3},spatial
test_1548,1416.79345703125,{'k': 3},spatial
test_1549,1583.9713134765625,{'k': 3},spatial
test_155,1839.377197265625,{'k': 3},spatial
test_1550,1521.939208984375,{'k': 3},spatial
test_1551,1538.136962890625,{'k': 3},spatial
test_1552,1568.8092041015625,{'k': 3},spatial
test_1553,1339.699951171875,{'k': 3},spatial
test_1554,1399.722900390625,{'k': 3},spatial
test_1555,1501.90234375,{'k': 3},spatial
test_1556,1671.005859375,{'k': 3},spatial
test_1557,1530.748046875,{'k': 3},spatial
test_1558,1645.754638671875,{'k': 3},spatial
test_1559,1617.2445068359375,{'k': 3},spatial
test_156,1668.523681640625,{'k': 3},spatial
test_1560,1606.511962890625,{'k': 3},spatial
test_1561,1507.4267578125,{'k': 3},spatial
test_1562,1681.101318359375,{'k': 3},spatial
test_1563,1650.156982421875,{'k': 3},spatial
test_1564,1412.486083984375,{'k': 3},spatial
test_1565,1383.2132568359375,{'k': 3},spatial
test_1566,1613.752197265625,{'k': 3},spatial
test_1567,1596.2830810546875,{'k': 3},spatial
test_1568,1409.283447265625,{'k': 3},spatial
test_1569,1581.2734375,{'k': 3},spatial
test_157,1663.948486328125,{'k': 3},spatial
test_1570,1688.8741455078125,{'k': 3},spatial
test_1571,1648.140625,{'k': 3},spatial
test_1572,1582.38720703125,{'k': 3},spatial
test_1573,1558.9346923828125,{'k': 3},spatial
test_1574,1433.6080322265625,{'k': 3},spatial
test_1575,1503.6734619140625,{'k': 3},spatial
test_1576,1549.02392578125,{'k': 3},spatial
test_1577,1535.4742431640625,{'k': 3},spatial
test_1578,1503.40283203125,{'k': 3},spatial
test_1579,1834.595703125,{'k': 3},spatial
test_158,1429.330078125,{'k': 3},spatial
test_1580,1616.068115234375,{'k': 3},spatial
test_1581,1555.6856689453125,{'k': 3},spatial
test_1582,1562.936767578125,{'k': 3},spatial
test_1583,1524.7705078125,{'k': 3},spatial
test_1584,1481.612060546875,{'k': 3},spatial
test_1585,1514.357177734375,{'k': 3},spatial
test_1586,1692.693359375,{'k': 3},spatial
test_1587,1470.382568359375,{'k': 3},spatial
test_1588,1625.727783203125,{'k': 3},spatial
test_1589,1584.129150390625,{'k': 3},spatial
test_159,1368.37109375,{'k': 3},spatial
test_1590,1588.34912109375,{'k': 3},spatial
test_1591,1533.470458984375,{'k': 3},spatial
test_1592,1577.897705078125,{'k': 3},spatial
test_1593,1507.7286376953125,{'k': 3},spatial
test_1594,1586.288330078125,{'k': 3},spatial
test_1595,1484.420166015625,{'k': 3},spatial
test_1596,1717.62451171875,{'k': 3},spatial
test_1597,1512.795654296875,{'k': 3},spatial
test_1598,1480.225830078125,{'k': 3},spatial
test_1599,1499.2381591796875,{'k': 3},spatial
test_16,1602.228515625,{'k': 3},spatial
test_160,1516.5234375,{'k': 3},spatial
test_1600,1543.6346435546875,{'k': 3},spatial
test_1601,1438.90087890625,{'k': 3},spatial
test_1602,1565.73876953125,{'k': 3},spatial
test_1603,1627.694580078125,{'k': 3},spatial
test_1604,1584.0948486328125,{'k': 3},spatial
test_1605,1543.41064453125,{'k': 3},spatial
test_1606,1457.931884765625,{'k': 3},spatial
test_1607,1467.925537109375,{'k': 3},spatial
test_1608,1659.1165771484375,{'k': 3},spatial
test_1609,1584.416748046875,{'k': 3},spatial
test_161,1594.7332763671875,{'k': 3},spatial
test_1610,1463.913818359375,{'k': 3},spatial
test_1611,1356.276611328125,{'k': 3},spatial
test_1612,1669.226318359375,{'k': 3},spatial
test_1613,1645.05126953125,{'k': 3},spatial
test_1614,1459.32958984375,{'k': 3},spatial
test_1615,1511.203369140625,{'k': 3},spatial
test_1616,1687.60009765625,{'k': 3},spatial
test_1617,1425.699951171875,{'k': 3},spatial
test_1618,1589.5771484375,{'k': 3},spatial
test_1619,1646.43603515625,{'k': 3},spatial
test_162,1517.849609375,{'k': 3},spatial
test_1620,1426.74853515625,{'k': 3},spatial
test_1621,1565.845703125,{'k': 3},spatial
test_1622,1629.3017578125,{'k': 3},spatial
test_1623,1658.9359130859375,{'k': 3},spatial
test_1624,1462.594482421875,{'k': 3},spatial
test_1625,1533.993896484375,{'k': 3},spatial
test_1626,1490.782470703125,{'k': 3},spatial
test_1627,1429.0958251953125,{'k': 3},spatial
test_1628,1632.750732421875,{'k': 3},spatial
test_1629,1592.6761474609375,{'k': 3},spatial
test_163,1641.06884765625,{'k': 3},spatial
test_1630,1470.0263671875,{'k': 3},spatial
test_1631,1509.258544921875,{'k': 3},spatial
test_1632,1658.037353515625,{'k': 3},spatial
test_1633,1650.9365234375,{'k': 3},spatial
test_1634,1711.6595458984375,{'k': 3},spatial
test_1635,1490.849365234375,{'k': 3},spatial
test_1636,1460.62548828125,{'k': 3},spatial
test_1637,1523.496826171875,{'k': 3},spatial
test_1638,1542.820556640625,{'k': 3},spatial
test_1639,1563.1275634765625,{'k': 3},spatial
test_164,1488.39013671875,{'k': 3},spatial
test_1640,1342.0533447265625,{'k': 3},spatial
test_1641,1642.8441162109375,{'k': 3},spatial
test_1642,1421.2177734375,{'k': 3},spatial
test_1643,1518.593017578125,{'k': 3},spatial
test_1644,1636.3492431640625,{'k': 3},spatial
test_1645,1610.0662841796875,{'k': 3},spatial
test_1646,1373.02001953125,{'k': 3},spatial
test_1647,1478.13427734375,{'k': 3},spatial
test_1648,1536.4027099609375,{'k': 3},spatial
test_1649,1514.724365234375,{'k': 3},spatial
test_165,1623.9266357421875,{'k': 3},spatial
test_1650,1520.5203857421875,{'k': 3},spatial
test_1651,1566.5638427734375,{'k': 3},spatial
test_1652,1549.591796875,{'k': 3},spatial
test_1653,1560.1519775390625,{'k': 3},spatial
test_1654,1587.2735595703125,{'k': 3},spatial
test_1655,1545.298095703125,{'k': 3},spatial
test_1656,1594.648193359375,{'k': 3},spatial
test_1657,1719.1248779296875,{'k': 3},spatial
test_1658,1466.044677734375,{'k': 3},spatial
test_1659,1472.993896484375,{'k': 3},spatial
test_166,1491.9515380859375,{'k': 3},spatial
test_1660,1574.13916015625,{'k': 3},spatial
test_1661,1424.1224365234375,{'k': 3},spatial
test_1662,1752.99267578125,{'k': 3},spatial
test_1663,1445.333984375,{'k': 3},spatial
test_1664,1455.98193359375,{'k': 3},spatial
test_1665,1506.072509765625,{'k': 3},spatial
test_1666,1587.253173828125,{'k': 3},spatial
test_1667,1385.78564453125,{'k': 3},spatial
test_1668,1634.632568359375,{'k': 3},spatial
test_1669,1448.871826171875,{'k': 3},spatial
test_167,1517.711669921875,{'k': 3},spatial
test_1670,1488.5556640625,{'k': 3},spatial
test_1671,1703.361328125,{'k': 3},spatial
test_1672,1534.17919921875,{'k': 3},spatial
test_1673,1899.217041015625,{'k': 3},spatial
test_1674,1615.8092041015625,{'k': 3},spatial
test_1675,1548.29541015625,{'k': 3},spatial
test_1676,1439.252685546875,{'k': 3},spatial
test_1677,1347.125732421875,{'k': 3},spatial
test_1678,1540.614501953125,{'k': 3},spatial
test_1679,1450.002197265625,{'k': 3},spatial
test_168,1563.532470703125,{'k': 3},spatial
test_1680,1594.58935546875,{'k': 3},spatial
test_1681,1652.64501953125,{'k': 3},spatial
test_1682,1474.4906005859375,{'k': 3},spatial
test_1683,1589.1943359375,{'k': 3},spatial
test_1684,1482.37548828125,{'k': 3},spatial
test_1685,1615.7548828125,{'k': 3},spatial
test_1686,1663.3330078125,{'k': 3},spatial
test_1687,1424.89453125,{'k': 3},spatial
test_1688,1754.466064453125,{'k': 3},spatial
test_1689,1465.084228515625,{'k': 3},spatial
test_169,1439.5474853515625,{'k': 3},spatial
test_1690,1708.442138671875,{'k': 3},spatial
test_1691,1550.38623046875,{'k': 3},spatial
test_1692,1792.46630859375,{'k': 3},spatial
test_1693,1544.8380126953125,{'k': 3},spatial
test_1694,1634.68505859375,{'k': 3},spatial
test_1695,1471.3544921875,{'k': 3},spatial
test_1696,1802.14404296875,{'k': 3},spatial
test_1697,1734.9051513671875,{'k': 3},spatial
test_1698,1942.9129638671875,{'k': 3},spatial
test_1699,1387.569580078125,{'k': 3},spatial
test_17,1418.17919921875,{'k': 3},spatial
test_170,1689.5859375,{'k': 3},spatial
test_1700,1428.211669921875,{'k': 3},spatial
test_1701,1435.2783203125,{'k': 3},spatial
test_1702,1492.72314453125,{'k': 3},spatial
test_1703,1792.630615234375,{'k': 3},spatial
test_1704,1754.14306640625,{'k': 3},spatial
test_1705,1662.6298828125,{'k': 3},spatial
test_1706,1712.763671875,{'k': 3},spatial
test_1707,1885.63916015625,{'k': 3},spatial
test_1708,1413.753662109375,{'k': 3},spatial
test_1709,1474.8380126953125,{'k': 3},spatial
test_171,1525.064453125,{'k': 3},spatial
test_1710,1634.074462890625,{'k': 3},spatial
test_1711,1692.29150390625,{'k': 3},spatial
test_1712,1600.170654296875,{'k': 3},spatial
test_1713,1582.7041015625,{'k': 3},spatial
test_1714,1823.493896484375,{'k': 3},spatial
test_1715,1628.232666015625,{'k': 3},spatial
test_1716,1522.220458984375,{'k': 3},spatial
test_1717,1519.11572265625,{'k': 3},spatial
test_1718,1460.619873046875,{'k': 3},spatial
test_1719,1630.974365234375,{'k': 3},spatial
test_172,1574.6619873046875,{'k': 3},spatial
test_1720,1570.404296875,{'k': 3},spatial
test_1721,1554.4315185546875,{'k': 3},spatial
test_1722,1664.2861328125,{'k': 3},spatial
test_1723,1640.239501953125,{'k': 3},spatial
test_1724,1603.693359375,{'k': 3},spatial
test_1725,1525.265380859375,{'k': 3},spatial
test_1726,1489.99560546875,{'k': 3},spatial
test_1727,1619.7608642578125,{'k': 3},spatial
test_1728,1534.32958984375,{'k': 3},spatial
test_1729,1410.7794189453125,{'k': 3},spatial
test_173,1398.4365234375,{'k': 3},spatial
test_1730,1467.5111083984375,{'k': 3},spatial
test_1731,1530.9193115234375,{'k': 3},spatial
test_1732,1584.29443359375,{'k': 3},spatial
test_1733,1370.817626953125,{'k': 3},spatial
test_1734,1607.98486328125,{'k': 3},spatial
test_1735,1522.0936279296875,{'k': 3},spatial
test_1736,1740.690185546875,{'k': 3},spatial
test_1737,1495.60302734375,{'k': 3},spatial
test_1738,1511.5909423828125,{'k': 3},spatial
test_1739,1415.6636962890625,{'k': 3},spatial
test_174,1562.6453857421875,{'k': 3},spatial
test_1740,1485.896728515625,{'k': 3},spatial
test_1741,1847.0908203125,{'k': 3},spatial
test_1742,1360.1851806640625,{'k': 3},spatial
test_1743,1711.881591796875,{'k': 3},spatial
test_1744,1698.201171875,{'k': 3},spatial
test_1745,1520.346923828125,{'k': 3},spatial
test_1746,1726.364013671875,{'k': 3},spatial
test_1747,1772.6173095703125,{'k': 3},spatial
test_1748,1542.464111328125,{'k': 3},spatial
test_1749,1413.977294921875,{'k': 3},spatial
test_175,1601.504638671875,{'k': 3},spatial
test_1750,1616.6002197265625,{'k': 3},spatial
test_1751,1452.2576904296875,{'k': 3},spatial
test_1752,1538.818359375,{'k': 3},spatial
test_1753,1532.905517578125,{'k': 3},spatial
test_1754,1316.3203125,{'k': 3},spatial
test_1755,1666.1683349609375,{'k': 3},spatial
test_1756,1592.65380859375,{'k': 3},spatial
test_1757,1525.538330078125,{'k': 3},spatial
test_1758,1583.433349609375,{'k': 3},spatial
test_1759,1463.111572265625,{'k': 3},spatial
test_176,1623.2139892578125,{'k': 3},spatial
test_1760,1538.058837890625,{'k': 3},spatial
test_1761,1601.76171875,{'k': 3},spatial
test_1762,1507.07421875,{'k': 3},spatial
test_1763,1660.384033203125,{'k': 3},spatial
test_1764,1651.07421875,{'k': 3},spatial
test_1765,1586.2022705078125,{'k': 3},spatial
test_1766,1591.1763916015625,{'k': 3},spatial
test_1767,1563.8848876953125,{'k': 3},spatial
test_1768,1487.407958984375,{'k': 3},spatial
test_1769,1450.3748779296875,{'k': 3},spatial
test_177,1587.87060546875,{'k': 3},spatial
test_1770,1466.6507568359375,{'k': 3},spatial
test_1771,1619.570068359375,{'k': 3},spatial
test_1772,1471.0718994140625,{'k': 3},spatial
test_1773,1449.2921142578125,{'k': 3},spatial
test_1774,1514.08251953125,{'k': 3},spatial
test_1775,1580.6556396484375,{'k': 3},spatial
test_1776,1560.445068359375,{'k': 3},spatial
test_1777,1588.7998046875,{'k': 3},spatial
test_1778,1596.7669677734375,{'k': 3},spatial
test_1779,1627.812744140625,{'k': 3},spatial
test_178,1469.669677734375,{'k': 3},spatial
test_1780,1376.81640625,{'k': 3},spatial
test_1781,1556.5550537109375,{'k': 3},spatial
test_1782,1464.259033203125,{'k': 3},spatial
test_1783,1546.533447265625,{'k': 3},spatial
test_1784,1515.823486328125,{'k': 3},spatial
test_1785,1432.76123046875,{'k': 3},spatial
test_1786,1496.169677734375,{'k': 3},spatial
test_1787,1564.21337890625,{'k': 3},spatial
test_1788,1435.08056640625,{'k': 3},spatial
test_1789,1463.16455078125,{'k': 3},spatial
test_179,1362.275146484375,{'k': 3},spatial
test_1790,1508.636474609375,{'k': 3},spatial
test_1791,1544.611572265625,{'k': 3},spatial
test_1792,1555.65966796875,{'k': 3},spatial
test_1793,1514.66748046875,{'k': 3},spatial
test_1794,1425.756591796875,{'k': 3},spatial
test_1795,1527.81689453125,{'k': 3},spatial
test_1796,1613.659423828125,{'k': 3},spatial
test_1797,1548.209716796875,{'k': 3},spatial
test_1798,1398.448486328125,{'k': 3},spatial
test_1799,1666.0418701171875,{'k': 3},spatial
test_18,1796.408203125,{'k': 3},spatial
test_180,1505.24609375,{'k': 3},spatial
test_1800,1633.545166015625,{'k': 3},spatial
test_1801,1522.486328125,{'k': 3},spatial
test_1802,1497.287841796875,{'k': 3},spatial
test_1803,1422.406982421875,{'k': 3},spatial
test_1804,1601.2486572265625,{'k': 3},spatial
test_1805,1650.054931640625,{'k': 3},spatial
test_1806,1452.64453125,{'k': 3},spatial
test_1807,1438.0546875,{'k': 3},spatial
test_1808,1474.84619140625,{'k': 3},spatial
test_1809,1651.94677734375,{'k': 3},spatial
test_181,1500.831787109375,{'k': 3},spatial
test_1810,1750.4068603515625,{'k': 3},spatial
test_1811,1636.4765625,{'k': 3},spatial
test_1812,1482.2784423828125,{'k': 3},spatial
test_1813,1537.02099609375,{'k': 3},spatial
test_1814,1617.390869140625,{'k': 3},spatial
test_1815,1419.5810546875,{'k': 3},spatial
test_1816,1736.8095703125,{'k': 3},spatial
test_1817,1634.984130859375,{'k': 3},spatial
test_1818,1514.279541015625,{'k': 3},spatial
test_1819,1516.443603515625,{'k': 3},spatial
test_182,1560.482177734375,{'k': 3},spatial
test_1820,1594.0238037109375,{'k': 3},spatial
test_1821,1503.201171875,{'k': 3},spatial
test_1822,1557.3040771484375,{'k': 3},spatial
test_1823,1446.3902587890625,{'k': 3},spatial
test_1824,1449.590576171875,{'k': 3},spatial
test_1825,1666.912109375,{'k': 3},spatial
test_1826,1484.581787109375,{'k': 3},spatial
test_1827,1429.633056640625,{'k': 3},spatial
test_1828,1585.468994140625,{'k': 3},spatial
test_1829,1722.822998046875,{'k': 3},spatial
test_183,1615.8685302734375,{'k': 3},spatial
test_1830,1730.039306640625,{'k': 3},spatial
test_1831,1423.808349609375,{'k': 3},spatial
test_1832,1731.24951171875,{'k': 3},spatial
test_1833,1439.9326171875,{'k': 3},spatial
test_1834,1695.01416015625,{'k': 3},spatial
test_1835,1468.696533203125,{'k': 3},spatial
test_1836,1446.135009765625,{'k': 3},spatial
test_1837,1580.73046875,{'k': 3},spatial
test_1838,1505.46630859375,{'k': 3},spatial
test_1839,1520.622314453125,{'k': 3},spatial
test_184,1431.54345703125,{'k': 3},spatial
test_1840,1618.7098388671875,{'k': 3},spatial
test_1841,1495.3482666015625,{'k': 3},spatial
test_1842,1642.6112060546875,{'k': 3},spatial
test_1843,1630.0751953125,{'k': 3},spatial
test_1844,1627.693115234375,{'k': 3},spatial
test_1845,1525.869873046875,{'k': 3},spatial
test_1846,1404.90380859375,{'k': 3},spatial
test_1847,1762.8282470703125,{'k': 3},spatial
test_1848,1595.618896484375,{'k': 3},spatial
test_1849,1585.185302734375,{'k': 3},spatial
test_185,1604.0074462890625,{'k': 3},spatial
test_1850,1479.6109619140625,{'k': 3},spatial
test_1851,1719.511962890625,{'k': 3},spatial
test_1852,1510.05810546875,{'k': 3},spatial
test_1853,1560.829833984375,{'k': 3},spatial
test_1854,1380.6053466796875,{'k': 3},spatial
test_1855,1753.786865234375,{'k': 3},spatial
test_1856,1727.501220703125,{'k': 3},spatial
test_1857,1549.3662109375,{'k': 3},spatial
test_1858,1446.8128662109375,{'k': 3},spatial
test_1859,1612.299560546875,{'k': 3},spatial
test_186,1483.887451171875,{'k': 3},spatial
test_1860,1702.303955078125,{'k': 3},spatial
test_1861,1582.42333984375,{'k': 3},spatial
test_1862,1633.6427001953125,{'k': 3},spatial
test_1863,1539.09619140625,{'k': 3},spatial
test_1864,1562.74658203125,{'k': 3},spatial
test_1865,1549.1627197265625,{'k': 3},spatial
test_1866,1742.994873046875,{'k': 3},spatial
test_1867,1680.256591796875,{'k': 3},spatial
test_1868,1625.389404296875,{'k': 3},spatial
test_1869,1473.7933349609375,{'k': 3},spatial
test_187,1585.34716796875,{'k': 3},spatial
test_1870,1475.388671875,{'k': 3},spatial
test_1871,1574.787109375,{'k': 3},spatial
test_1872,1598.112548828125,{'k': 3},spatial
test_1873,1436.15673828125,{'k': 3},spatial
test_1874,1678.9786376953125,{'k': 3},spatial
test_1875,1543.2659912109375,{'k': 3},spatial
test_1876,1689.012939453125,{'k': 3},spatial
test_1877,1534.6341552734375,{'k': 3},spatial
test_1878,1537.4775390625,{'k': 3},spatial
test_1879,1852.737060546875,{'k': 3},spatial
test_188,1761.33056640625,{'k': 3},spatial
test_1880,1513.06689453125,{'k': 3},spatial
test_1881,1650.186767578125,{'k': 3},spatial
test_1882,1642.028076171875,{'k': 3},spatial
test_1883,1545.1474609375,{'k': 3},spatial
test_1884,1712.9461669921875,{'k': 3},spatial
test_1885,1576.283447265625,{'k': 3},spatial
test_1886,1555.268798828125,{'k': 3},spatial
test_1887,1646.289794921875,{'k': 3},spatial
test_1888,1483.4892578125,{'k': 3},spatial
test_1889,1751.341552734375,{'k': 3},spatial
test_189,1543.120361328125,{'k': 3},spatial
test_1890,1759.9486083984375,{'k': 3},spatial
test_1891,1623.3052978515625,{'k': 3},spatial
test_1892,1403.335205078125,{'k': 3},spatial
test_1893,1652.11328125,{'k': 3},spatial
test_1894,1346.450439453125,{'k': 3},spatial
test_1895,1592.6209716796875,{'k': 3},spatial
test_1896,1687.543212890625,{'k': 3},spatial
test_1897,1627.0130615234375,{'k': 3},spatial
test_1898,1670.268798828125,{'k': 3},spatial
test_1899,1673.142578125,{'k': 3},spatial
test_19,1479.4984130859375,{'k': 3},spatial
test_190,1509.74169921875,{'k': 3},spatial
test_1900,1552.0321044921875,{'k': 3},spatial
test_1901,1510.271484375,{'k': 3},spatial
test_1902,1677.6717529296875,{'k': 3},spatial
test_1903,1536.328125,{'k': 3},spatial
test_1904,1717.2525634765625,{'k': 3},spatial
test_1905,1599.289306640625,{'k': 3},spatial
test_1906,1388.2041015625,{'k': 3},spatial
test_1907,1603.868408203125,{'k': 3},spatial
test_1908,1618.2890625,{'k': 3},spatial
test_1909,1671.9949951171875,{'k': 3},spatial
test_191,1563.506103515625,{'k': 3},spatial
test_1910,1492.434326171875,{'k': 3},spatial
test_1911,1834.234375,{'k': 3},spatial
test_1912,1753.3394775390625,{'k': 3},spatial
test_1913,1714.0528564453125,{'k': 3},spatial
test_1914,1708.567138671875,{'k': 3},spatial
test_1915,1517.086669921875,{'k': 3},spatial
test_1916,1591.469482421875,{'k': 3},spatial
test_1917,1495.9564208984375,{'k': 3},spatial
test_1918,1744.5311279296875,{'k': 3},spatial
test_1919,1443.080078125,{'k': 3},spatial
test_192,1366.26220703125,{'k': 3},spatial
test_1920,1486.16357421875,{'k': 3},spatial
test_1921,1656.073974609375,{'k': 3},spatial
test_1922,1434.176025390625,{'k': 3},spatial
test_1923,1574.326171875,{'k': 3},spatial
test_1924,1527.45703125,{'k': 3},spatial
test_1925,1520.413818359375,{'k': 3},spatial
test_1926,1375.60791015625,{'k': 3},spatial
test_1927,1466.868896484375,{'k': 3},spatial
test_1928,1604.4949951171875,{'k': 3},spatial
test_1929,1527.822509765625,{'k': 3},spatial
test_193,1615.47021484375,{'k': 3},spatial
test_1930,1448.809326171875,{'k': 3},spatial
test_1931,1651.8427734375,{'k': 3},spatial
test_1932,1669.345458984375,{'k': 3},spatial
test_1933,1481.95068359375,{'k': 3},spatial
test_1934,1581.2486572265625,{'k': 3},spatial
test_1935,1448.6046142578125,{'k': 3},spatial
test_1936,1666.96435546875,{'k': 3},spatial
test_1937,1682.8912353515625,{'k': 3},spatial
test_1938,1550.3525390625,{'k': 3},spatial
test_1939,1657.48779296875,{'k': 3},spatial
test_194,1646.174072265625,{'k': 3},spatial
test_1940,1541.8974609375,{'k': 3},spatial
test_1941,1592.311279296875,{'k': 3},spatial
test_1942,1650.577392578125,{'k': 3},spatial
test_1943,1496.1005859375,{'k': 3},spatial
test_1944,1650.340576171875,{'k': 3},spatial
test_1945,1540.544189453125,{'k': 3},spatial
test_1946,1458.93310546875,{'k': 3},spatial
test_1947,1657.145751953125,{'k': 3},spatial
test_1948,1659.5576171875,{'k': 3},spatial
test_1949,1675.0894775390625,{'k': 3},spatial
test_195,1680.552734375,{'k': 3},spatial
test_1950,1504.503173828125,{'k': 3},spatial
test_1951,1599.646240234375,{'k': 3},spatial
test_1952,1635.070068359375,{'k': 3},spatial
test_1953,1495.70166015625,{'k': 3},spatial
test_1954,1651.828857421875,{'k': 3},spatial
test_1955,1537.8839111328125,{'k': 3},spatial
test_1956,1472.1885986328125,{'k': 3},spatial
test_1957,1646.4322509765625,{'k': 3},spatial
test_1958,1423.79541015625,{'k': 3},spatial
test_1959,1529.343994140625,{'k': 3},spatial
test_196,1548.37841796875,{'k': 3},spatial
test_1960,1606.0635986328125,{'k': 3},spatial
test_1961,1621.0404052734375,{'k': 3},spatial
test_1962,1505.94775390625,{'k': 3},spatial
test_1963,1644.42626953125,{'k': 3},spatial
test_1964,1638.036376953125,{'k': 3},spatial
test_1965,1532.060791015625,{'k': 3},spatial
test_1966,1682.44189453125,{'k': 3},spatial
test_1967,1536.120849609375,{'k': 3},spatial
test_1968,1459.708251953125,{'k': 3},spatial
test_1969,1548.39306640625,{'k': 3},spatial
test_197,1504.072998046875,{'k': 3},spatial
test_1970,1484.610107421875,{'k': 3},spatial
test_1971,1600.885498046875,{'k': 3},spatial
test_1972,1776.103515625,{'k': 3},spatial
test_1973,1570.498779296875,{'k': 3},spatial
test_1974,1961.976806640625,{'k': 3},spatial
test_1975,1360.0264892578125,{'k': 3},spatial
test_1976,1475.098876953125,{'k': 3},spatial
test_1977,1432.50341796875,{'k': 3},spatial
test_1978,1677.2789306640625,{'k': 3},spatial
test_1979,1511.716552734375,{'k': 3},spatial
test_198,1870.782958984375,{'k': 3},spatial
test_1980,1651.1181640625,{'k': 3},spatial
test_1981,1619.4376220703125,{'k': 3},spatial
test_1982,1812.82666015625,{'k': 3},spatial
test_1983,1389.6416015625,{'k': 3},spatial
test_1984,1550.628662109375,{'k': 3},spatial
test_1985,1446.05615234375,{'k': 3},spatial
test_1986,1574.455322265625,{'k': 3},spatial
test_1987,1339.759033203125,{'k': 3},spatial
test_1988,1534.1390380859375,{'k': 3},spatial
test_1989,1460.717529296875,{'k': 3},spatial
test_199,1647.77783203125,{'k': 3},spatial
test_1990,1596.8028564453125,{'k': 3},spatial
test_1991,1699.9757080078125,{'k': 3},spatial
test_1992,1360.84716796875,{'k': 3},spatial
test_1993,1465.371337890625,{'k': 3},spatial
test_1994,1674.32666015625,{'k': 3},spatial
test_1995,1759.144287109375,{'k': 3},spatial
test_1996,1494.5970458984375,{'k': 3},spatial
test_1997,1485.6015625,{'k': 3},spatial
test_1998,1346.9208984375,{'k': 3},spatial
test_1999,1504.083740234375,{'k': 3},spatial
test_2,1409.8790283203125,{'k': 3},spatial
test_20,1441.296142578125,{'k': 3},spatial
test_200,1649.40673828125,{'k': 3},spatial
test_2000,1490.8143310546875,{'k': 3},spatial
test_2001,1632.41259765625,{'k': 3},spatial
test_2002,1467.5498046875,{'k': 3},spatial
test_2003,1540.2247314453125,{'k': 3},spatial
test_2004,1532.239013671875,{'k': 3},spatial
test_2005,1377.635498046875,{'k': 3},spatial
test_2006,1563.40478515625,{'k': 3},spatial
test_2007,1655.632568359375,{'k': 3},spatial
test_2008,1496.040283203125,{'k': 3},spatial
test_2009,1510.789306640625,{'k': 3},spatial
test_201,1453.520263671875,{'k': 3},spatial
test_2010,1667.4530029296875,{'k': 3},spatial
test_2011,1445.9775390625,{'k': 3},spatial
test_2012,1542.7880859375,{'k': 3},spatial
test_2013,1582.224609375,{'k': 3},spatial
test_2014,1712.3096923828125,{'k': 3},spatial
test_2015,1503.985595703125,{'k': 3},spatial
test_2016,1501.9361572265625,{'k': 3},spatial
test_2017,1664.1126708984375,{'k': 3},spatial
test_2018,1481.8243408203125,{'k': 3},spatial
test_2019,1498.1043701171875,{'k': 3},spatial
test_202,1820.1390380859375,{'k': 3},spatial
test_2020,1439.9449462890625,{'k': 3},spatial
test_2021,1510.46142578125,{'k': 3},spatial
test_2022,1675.419189453125,{'k': 3},spatial
test_2023,1627.705810546875,{'k': 3},spatial
test_2024,1459.97119140625,{'k': 3},spatial
test_2025,1680.599365234375,{'k': 3},spatial
test_2026,1588.38720703125,{'k': 3},spatial
test_2027,1664.981201171875,{'k': 3},spatial
test_2028,1457.60546875,{'k': 3},spatial
test_2029,1548.2589111328125,{'k': 3},spatial
test_203,1550.281005859375,{'k': 3},spatial
test_2030,1644.847900390625,{'k': 3},spatial
test_2031,1482.62255859375,{'k': 3},spatial
test_2032,1382.711669921875,{'k': 3},spatial
test_2033,1778.2467041015625,{'k': 3},spatial
test_2034,1614.81494140625,{'k': 3},spatial
test_2035,1570.6514892578125,{'k': 3},spatial
test_2036,1596.8314208984375,{'k': 3},spatial
test_2037,1518.205810546875,{'k': 3},spatial
test_2038,1739.921875,{'k': 3},spatial
test_2039,1441.646240234375,{'k': 3},spatial
