retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries
mt5,7,spatial,2,0.0,0.29903096439436805,0.0030809222584172124,0.1776315789473684,0.010352157028285932,97
mt5,7,a_ratio,2,0.0,0.09394360593896267,0.3626044221678115,-0.003508771929824561,0.9596094143193218,97
mt5,7,nqc,2,0.0,0.03390937630110298,0.7429231504473657,-0.0026315789473684206,0.9697013964662655,97
mt5,7,spatial,2,0.02,0.30155325785072157,0.0028289858759295464,0.17631578947368418,0.010932545975931482,97
mt5,7,a_ratio,2,0.02,0.09415338754367626,0.3615288824563936,-0.004385964912280701,0.9495239009595372,97
mt5,7,nqc,2,0.02,0.03628997486913073,0.7255691546933889,0.04605263157894736,0.5062430437149774,97
mt5,7,spatial,2,0.04,0.3040707969893489,0.0025961366375332443,0.175,0.011541673254595812,97
mt5,7,a_ratio,2,0.04,0.09437187242171369,0.360410815902344,-0.004385964912280701,0.9495239009595372,97
mt5,7,nqc,2,0.04,0.03877169570958866,0.7076245682517363,0.07982456140350876,0.24926153279470387,97
mt5,7,spatial,2,0.06,0.3065773284686658,0.002381578542507522,0.17850877192982453,0.009980624249260547,97
mt5,7,a_ratio,2,0.06,0.09459961307819156,0.35924765985880647,-0.004824561403508771,0.9444840737693221,97
mt5,7,nqc,2,0.06,0.04136029117840169,0.6890760935581776,0.0982456140350877,0.1561836121302155,97
mt5,7,spatial,2,0.08,0.3090659279644968,0.0021844902950457438,0.1820175438596491,0.008610498746466352,97
mt5,7,a_ratio,2,0.08,0.09483720974183402,0.35803664252518697,-0.005263157894736841,0.9394464677531641,97
mt5,7,nqc,2,0.08,0.04406186881879728,0.6699124004749488,0.10921052631578945,0.11495986919059359,97
mt5,7,spatial,2,0.1,0.3115289634351527,0.0020040327103432367,0.18333333333333332,0.008141731588545092,97
mt5,7,a_ratio,2,0.1,0.09508531562522035,0.3567747612786963,-0.004385964912280701,0.9495239009595372,97
mt5,7,nqc,2,0.1,0.046882905702444945,0.6501246767690855,0.11578947368421051,0.09467365840926534,97
mt5,7,spatial,2,0.12,0.3139580619574197,0.0018393564612091099,0.18114035087719296,0.008936269357215086,97
mt5,7,a_ratio,2,0.12,0.09534464289557747,0.3554587582716402,-0.004824561403508771,0.9444840737693221,97
mt5,7,nqc,2,0.12,0.04983026044560174,0.6297072708193648,0.12587719298245612,0.06924102024309887,97
mt5,7,spatial,2,0.14,0.3163440816161594,0.0016896100640358546,0.18552631578947365,0.007411025603920558,97
mt5,7,a_ratio,2,0.14,0.09561596947051648,0.35408509288617207,-0.004824561403508771,0.9444840737693221,97
mt5,7,nqc,2,0.14,0.05291118180977603,0.6086584358065305,0.1289473684210526,0.06272198677177326,97
mt5,7,spatial,2,0.16,0.3186770901523229,0.0015539480023604906,0.18728070175438594,0.006869417363886626,97
mt5,7,a_ratio,2,0.16,0.09590014677462788,0.3526499105676169,-0.003947368421052631,0.954565748248739,97
mt5,7,nqc,2,0.16,0.05613331248447004,0.5869811835030998,0.13728070175438595,0.04754239775881143,97
mt5,7,spatial,2,0.18,0.3209463522914993,0.0014315388914238301,0.19035087719298244,0.0060065708523342936,97
mt5,7,a_ratio,2,0.18,0.09619810861901548,0.35114900747301264,-0.003070175438596491,0.9646546976352598,97
mt5,7,nqc,2,0.18,0.05950468626166641,0.5646842535659239,0.13464912280701752,0.05196142228840072,97
mt5,7,spatial,2,0.2,0.3231403278750353,0.0013215735988061608,0.19078947368421048,0.005891622551225342,97
mt5,7,a_ratio,2,0.2,0.09651088139781736,0.34957779027003577,-0.0026315789473684206,0.9697013964662655,97
mt5,7,nqc,2,0.2,0.06303371633264859,0.5417832005456926,0.1337719298245614,0.053508744548176196,97
mt5,7,spatial,2,0.22,0.32524668308177707,0.001223273254971842,0.19298245614035084,0.005346085893178478,97
mt5,7,a_ratio,2,0.22,0.09683959583498558,0.34793123029923934,-0.0021929824561403503,0.9747493089119874,97
mt5,7,nqc,2,0.22,0.06672917185072577,0.5183015951738944,0.1337719298245614,0.053508744548176196,97
mt5,7,spatial,2,0.24,0.3272523171407304,0.0011358971138029294,0.19254385964912277,0.005451397044324322,97
mt5,7,a_ratio,2,0.24,0.09718550056295704,0.34620381116477855,0.0,1.0,97
mt5,7,nqc,2,0.24,0.07060013919101137,0.494272328298838,0.13859649122807016,0.04545413009688231,97
mt5,7,spatial,2,0.26,0.3291434069703485,0.0010587502571808263,0.1951754385964912,0.004846583300035788,97
