retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries
bm25,2,bertQPP,2,0.48,0.27572892687319783,0.006264319391206356,0.18857388316151205,0.006211170636578692,97
bm25,2,bertQPP(QV),2,0.48,0.26633080959121114,0.008367812850223075,0.17740549828178698,0.010042744211065484,97
bm25,2,spatial,2,0.5,0.2729768251116951,0.006825519505635319,0.15249140893470792,0.026909885175764755,97
bm25,2,a_ratio,2,0.5,0.23000788483603773,0.023425295981622445,0.11726804123711342,0.08881318243030219,97
bm25,2,nqc,2,0.5,0.02136178030440768,0.8354746113152723,0.022766323024054985,0.7411241465856763,97
bm25,2,bertQPP,2,0.5,0.27234686219216836,0.006960066935076946,0.18427835051546396,0.0074933028749945285,97
bm25,2,bertQPP(QV),2,0.5,0.2628110288423746,0.009302812035488743,0.17225085910652924,0.012434959394241826,97
bm25,2,spatial,2,0.52,0.26517407048288455,0.008665529771030819,0.14862542955326463,0.03102727109196935,97
bm25,2,a_ratio,2,0.52,0.22589873554786705,0.02609161700316054,0.11898625429553265,0.08423505409007553,97
bm25,2,nqc,2,0.52,0.022140576121763227,0.8295654616453907,0.021907216494845363,0.7505619727933218,97
bm25,2,bertQPP,2,0.52,0.2684621291529597,0.007842767521120902,0.1782646048109966,0.009686599012848096,97
bm25,2,bertQPP(QV),2,0.52,0.2587799663463453,0.01048523886324708,0.16022336769759454,0.02007078628569656,97
bm25,2,spatial,2,0.54,0.257425045468077,0.01091120781431108,0.15077319587628868,0.0286776674564184,97
bm25,2,a_ratio,2,0.54,0.22156982221168547,0.02917550937666865,0.12371134020618559,0.07262323979726368,97
bm25,2,nqc,2,0.54,0.022984936462072635,0.8231695508902496,0.026202749140893475,0.7037735989090746,97
bm25,2,bertQPP,2,0.54,0.26409697517697855,0.008951083949813329,0.17654639175257736,0.010410504577977625,97
bm25,2,bertQPP(QV),2,0.54,0.25427600192629085,0.011960138379976767,0.16065292096219932,0.019739903980340746,97
bm25,2,spatial,2,0.56,0.24975836172323526,0.013618194121445572,0.14948453608247425,0.030068308790855192,97
bm25,2,a_ratio,2,0.56,0.21706090590450036,0.03271038014116108,0.12285223367697597,0.07463114343880432,97
bm25,2,nqc,2,0.56,0.023903359985909735,0.8162257376345279,0.026632302405498288,0.6991524853070341,97
bm25,2,bertQPP,2,0.56,0.2592813186033999,0.01033135113218318,0.1709621993127148,0.013106785247853048,97
bm25,2,bertQPP(QV),2,0.56,0.24934463120342384,0.013779580978821595,0.1597938144329897,0.02040649882574069,97
bm25,2,spatial,2,0.58,0.24219836200780268,0.016841217826849032,0.1516323024054983,0.027781654237823455,97
bm25,2,a_ratio,2,0.58,0.21241047794894777,0.036727569847873065,0.12199312714776635,0.07668417076895777,97
bm25,2,nqc,2,0.58,0.024905850308732658,0.8086625241569133,0.025343642611683852,0.7130485680719618,97
bm25,2,bertQPP,2,0.58,0.25405178127664607,0.012038072574483005,0.17353951890034366,0.011793812186781842,97
bm25,2,bertQPP(QV),2,0.58,0.2440366720852201,0.016002248544306475,0.15420962199312716,0.025236989773183314,97
bm25,2,spatial,2,0.6,0.23476537963323924,0.020632312786394203,0.147766323024055,0.03201236643126749,97
bm25,2,a_ratio,2,0.6,0.20765502290455662,0.04125516194404055,0.12285223367697597,0.07463114343880432,97
bm25,2,nqc,2,0.6,0.02600425618976415,0.8003958588767948,0.025343642611683852,0.7130485680719618,97
bm25,2,bertQPP,2,0.6,0.24845045474686428,0.014134066201870335,0.17182130584192443,0.01265543298933369,97
bm25,2,bertQPP(QV),2,0.6,0.23840635385531778,0.018692505738581965,0.14647766323024058,0.03354022455213661,97
bm25,2,spatial,2,0.62,0.22747605018142025,0.025039091024247888,0.147766323024055,0.03201236643126749,97
bm25,2,a_ratio,2,0.62,0.20282846538370794,0.046316877615709816,0.12285223367697597,0.07463114343880432,97
bm25,2,nqc,2,0.62,0.02721270540023017,0.7913263875436097,0.027061855670103097,0.6945424903122657,97
bm25,2,bertQPP,2,0.62,0.24252348950694377,0.016690127905793686,0.17053264604811,0.013337754848227265,97
bm25,2,bertQPP(QV),2,0.62,0.23250942815515996,0.021918909183092125,0.14819587628865982,0.031516517606653575,97
bm25,2,spatial,2,0.64,0.22034365286814092,0.030103183253092705,0.14475945017182132,0.035674068768179766,97
bm25,2,a_ratio,2,0.64,0.1979617937342089,0.051931125469533684,0.12242268041237117,0.07565197367789964,97
bm25,2,nqc,2,0.64,0.02854816249467439,0.7813359999304522,0.030498281786941587,0.6580807665431417,97
bm25,2,bertQPP,2,0.64,0.23631960548324102,0.019784099601236477,0.16108247422680416,0.01941379508307944,97
bm25,2,bertQPP(QV),2,0.64,0.22640142165336435,0.025752167648848724,0.1434707903780069,0.037349490378258986,97
bm25,2,spatial,2,0.66,0.2133784633226811,0.035858936835990965,0.13788659793814437,0.04540422310195199,97
bm25,2,a_ratio,2,0.66,0.1930828438245702,0.058110262820303175,0.11898625429553265,0.08423505409007553,97
bm25,2,nqc,2,0.66,0.030031151662499284,0.7702834768916921,0.03178694158075602,0.6446089162462232,97
bm25,2,bertQPP,2,0.66,0.22988861957925222,0.023499271319767714,0.16494845360824745,0.01668446543769203,97
bm25,2,bertQPP(QV),2,0.66,0.2201361203142836,0.030262637228872992,0.14046391752577322,0.04152093691345949,97
bm25,2,spatial,2,0.68,0.20658810375043674,0.04233243492575483,0.13445017182130586,0.05105421646643944,97
bm25,2,a_ratio,2,0.68,0.18821622011224054,0.0648601072105283,0.11941580756013748,0.08312087785946547,97
bm25,2,nqc,2,0.68,0.03168670096848772,0.7579989940581123,0.03479381443298969,0.6136308097551222,97
bm25,2,bertQPP,2,0.68,0.22328007401144417,0.027922112187194738,0.16065292096219932,0.019739903980340746,97
bm25,2,bertQPP(QV),2,0.68,0.21376434087985224,0.035517504400739516,0.13788659793814437,0.04540422310195199,97
bm25,2,spatial,2,0.7,0.19997788021025042,0.04954087078731303,0.1314432989690722,0.05647001729864357,97
bm25,2,a_ratio,2,0.7,0.18338332842992464,0.07217971583503285,0.1168384879725086,0.08998850130140247,97
bm25,2,nqc,2,0.7,0.033545585019099725,0.7442771891390871,0.03737113402061856,0.5876136836654002,97
bm25,2,bertQPP,2,0.7,0.2165420303455287,0.03313940533937192,0.14819587628865982,0.031516517606653575,97
bm25,2,bertQPP(QV),2,0.7,0.20733301190029194,0.041577863274682,0.14132302405498284,0.040290653027956765,97
bm25,2,spatial,2,0.72,0.19355109995476183,0.057492282378298336,0.1284364261168385,0.06235576017343852,97
bm25,2,a_ratio,2,0.72,0.17860249480169882,0.08006142963229863,0.11512027491408937,0.09481550621817705,97
bm25,2,nqc,2,0.72,0.03564597089333787,0.7288684672730485,0.046391752577319596,0.5008221569685896,97
bm25,2,bertQPP,2,0.72,0.2097200719705911,0.03923494414492605,0.1434707903780069,0.037349490378258986,97
bm25,2,bertQPP(QV),2,0.72,0.2008845583774635,0.0484959200090907,0.14003436426116841,0.04214791401843269,97
bm25,2,spatial,2,0.74,0.18730936441802998,0.06618562716691512,0.1245704467353952,0.07065977324075139,97
bm25,2,a_ratio,2,0.74,0.17388914633573982,0.08849116040391905,0.11554982817869418,0.09358972367387966,97
bm25,2,nqc,2,0.74,0.03803560775259349,0.7114682471713136,0.04725085910652922,0.4929254477765376,97
bm25,2,bertQPP,2,0.74,0.2028565355082041,0.046286016384732315,0.14261168384879727,0.03850326567762371,97
bm25,2,bertQPP(QV),2,0.74,0.1944565630218646,0.0563125517412254,0.14046391752577322,0.04152093691345949,97
bm25,2,spatial,2,0.76,0.18125283551299276,0.07561115781047144,0.12113402061855671,0.07878300963914868,97
bm25,2,a_ratio,2,0.76,0.1692560331204969,0.09744888516220337,0.11383161512027494,0.0985701799206937,97
bm25,2,nqc,2,0.76,0.04077474127684404,0.6917040438977623,0.04510309278350516,0.5127917901399865,97
bm25,2,bertQPP,2,0.76,0.1959899719249804,0.054359945553795315,0.13745704467353953,0.04608031263937092,97
bm25,2,bertQPP(QV),2,0.76,0.18808166381780875,0.06505541072799932,0.13831615120274915,0.044736513464296176,97
bm25,2,spatial,2,0.78,0.17538047447797195,0.08575104648183259,0.1207044673539519,0.07984982362376257,97
bm25,2,a_ratio,2,0.78,0.1647134734827295,0.10690930283428081,0.10910652920962201,0.11336246240953972,97
bm25,2,nqc,2,0.78,0.04393996695261426,0.6691208793936191,0.04768041237113403,0.4890022573020564,97
bm25,2,bertQPP,2,0.78,0.18915482252876942,0.06351096550549712,0.13487972508591067,0.050317249987351625,97
bm25,2,bertQPP(QV),2,0.78,0.1817876413526961,0.07473770425130755,0.13702749140893475,0.046764860648197036,97
bm25,2,spatial,2,0.8,0.16969025365823318,0.09658019915145048,0.11855670103092786,0.08536128644887009,97
bm25,2,a_ratio,2,0.8,0.16026960850287839,0.11684260449746081,0.10781786941580758,0.11768634646990996,97
bm25,2,nqc,2,0.8,0.04762921877759051,0.6431670402836536,0.04896907216494846,0.4773342987798882,97
bm25,2,bertQPP,2,0.8,0.18238128424748523,0.07377767480192034,0.13015463917525774,0.058933277914773506,97
bm25,2,bertQPP(QV),2,0.8,0.17559764878466474,0.08535770862703697,0.13058419243986258,0.05810246319620013,97
bm25,2,spatial,2,0.82,0.16417934240138637,0.10806720018222042,0.11941580756013748,0.08312087785946547,97
bm25,2,a_ratio,2,0.82,0.15593065502344766,0.12721530887912236,0.10266323024054985,0.13628751627610397,97
bm25,2,nqc,2,0.82,0.05196789960046385,0.6131858283269489,0.046821305841924406,0.49686544158769386,97
bm25,2,bertQPP,2,0.82,0.17569533248902175,0.08518125627455175,0.12757731958762888,0.06412770883743656,97
bm25,2,bertQPP(QV),2,0.82,0.1695305407281557,0.09689900360515177,0.12199312714776635,0.07668417076895777,97
bm25,2,spatial,2,0.84,0.15884426875646515,0.12017533097402237,0.1168384879725086,0.08998850130140247,97
bm25,2,a_ratio,2,0.84,0.15170114935034085,0.1379911189288624,0.09836769759450173,0.15345704089516993,97
bm25,2,nqc,2,0.84,0.057115460897675954,0.5784271425691409,0.046821305841924406,0.49686544158769386,97
bm25,2,bertQPP,2,0.84,0.16911886779812102,0.0977245668196256,0.12671821305841927,0.06594102788919391,97
bm25,2,bertQPP(QV),2,0.84,0.16360126313670792,0.10933135188730658,0.11597938144329899,0.09237668593402237,97
bm25,2,spatial,2,0.86,0.15368105896060075,0.13286361278672643,0.10953608247422682,0.11194930892644765,97
bm25,2,a_ratio,2,0.86,0.14758417635182156,0.14913176171267015,0.1009450171821306,0.14296835148549844,97
bm25,2,nqc,2,0.86,0.06326964634194965,0.5381103810155473,0.04939862542955327,0.47347910625616985,97
bm25,2,bertQPP,2,0.86,0.16266995352541003,0.11139211612781862,0.12199312714776635,0.07668417076895777,97
bm25,2,bertQPP(QV),2,0.86,0.15782127313713182,0.12261210411345,0.11168384879725088,0.1050908480999539,97
bm25,2,spatial,2,0.88,0.14868535682947812,0.14608783202644496,0.10609965635738833,0.1236515932692785,97
bm25,2,a_ratio,2,0.88,0.14358158068891716,0.16059778157949844,0.0970790378006873,0.15891607395046403,97
bm25,2,nqc,2,0.88,0.07065987416765987,0.4916053373962629,0.057989690721649494,0.40007019122296605,97
bm25,2,bertQPP,2,0.88,0.15636311481328546,0.1261508738345449,0.11512027491408937,0.09481550621817705,97
bm25,2,bertQPP(QV),2,0.88,0.15219896474714306,0.1366879850522312,0.11082474226804125,0.10779310640620364,97
bm25,2,spatial,2,0.9,0.14385252518368763,0.15980151513759414,0.10008591065292097,0.14640165493450158,97
bm25,2,a_ratio,2,0.9,0.1396941584919609,0.172349264565618,0.09450171821305844,0.17027316035268703,97
bm25,2,nqc,2,0.9,0.07950664433871259,0.43885685017090686,0.0627147766323024,0.3627897011875757,97
bm25,2,bertQPP,2,0.9,0.15020967348387665,0.1419517821698802,0.11168384879725088,0.1050908480999539,97
bm25,2,bertQPP(QV),2,0.9,0.14674008285687162,0.15149711085146514,0.10910652920962201,0.11336246240953972,97
bm25,2,spatial,2,0.92,0.13917773137882683,0.17395682898159726,0.09664948453608249,0.16076803875264556,97
bm25,2,a_ratio,2,0.92,0.1359218289820387,0.18434647961585762,0.08977663230240551,0.19265661141875967,97
bm25,2,nqc,2,0.92,0.08989133195509573,0.3812342859223679,0.06615120274914091,0.33709113316806516,97
bm25,2,bertQPP,2,0.92,0.14421809816013892,0.15873181082489313,0.1086769759450172,0.11478963120763813,97
bm25,2,bertQPP(QV),2,0.92,0.14144811342546765,0.16697109657677445,0.10395189003436428,0.13143701983340042,97
bm25,2,spatial,2,0.94,0.1346560188908713,0.1885053906278042,0.08977663230240551,0.19265661141875967,97
bm25,2,a_ratio,2,0.94,0.13226378638521424,0.19655042893663557,0.08290378006872855,0.22896569995644822,97
bm25,2,nqc,2,0.94,0.1014307569742127,0.32286909287206095,0.07474226804123713,0.2781012070168114,97
bm25,2,bertQPP,2,0.94,0.13839435363475214,0.17641637325679432,0.1009450171821306,0.14296835148549844,97
bm25,2,bertQPP(QV),2,0.94,0.1363246424027691,0.18303713320604417,0.10008591065292097,0.14640165493450158,97
bm25,2,spatial,2,0.96,0.1302823667610431,0.20339897748407346,0.08719931271477664,0.2057421374120063,97
bm25,2,a_ratio,2,0.96,0.1287186330645488,0.20892330539329004,0.08333333333333336,0.22656268559471548,97
bm25,2,nqc,2,0.96,0.11267869241716721,0.27182311736675724,0.08462199312714778,0.2194617374170329,97
bm25,2,bertQPP,2,0.96,0.13274223778228408,0.19492192636838904,0.09364261168384881,0.17419095096502246,97
bm25,2,bertQPP(QV),2,0.96,0.13136967944175543,0.1996199389711866,0.09106529209621994,0.18634796497677564,97
bm25,2,spatial,2,0.98,0.12605173854171153,0.21859013448826406,0.08032646048109966,0.24376503221542667,97
bm25,2,a_ratio,2,0.98,0.12528449515871387,0.2214288592376463,0.07903780068728523,0.25141149497554627,97
bm25,2,nqc,2,0.98,0.12065805467709094,0.239097581522978,0.08376288659793817,0.22417771625382632,97
