retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries
mt5,5,a_ratio,2,0.8,0.19580663970441461,0.05459042969604359,0.018470790378006877,0.7886746705788532,97
mt5,5,nqc,2,0.8,0.10164363191871717,0.3218493291462195,0.0025773195876288664,0.9701662186124013,97
mt5,5,spatial,2,0.9,0.24244975818185474,0.016724288497976948,0.1554982817869416,0.02404211148041231,97
mt5,5,a_ratio,2,0.9,0.19582009868221995,0.054573481914118656,0.016752577319587632,0.8079288528511878,97
mt5,5,nqc,2,0.9,0.1015652168276856,0.3222247306330214,0.0025773195876288664,0.9701662186124013,97
mt5,5,spatial,2,1.0,0.2478489345717096,0.014376963116689742,0.16022336769759454,0.02007078628569656,97
mt5,5,a_ratio,2,1.0,0.1958310451566398,0.054559701105663085,0.017611683848797254,0.7982864258103413,97
mt5,5,nqc,2,1.0,0.10150048655972574,0.32253482966830904,0.0025773195876288664,0.9701662186124013,97
mt5,5,spatial,3,0.0,0.15364430623823055,0.13295745259578431,0.11554982817869418,0.09358972367387966,97
mt5,5,a_ratio,3,0.0,0.19525066054553644,0.05529431264124561,0.04982817869415808,0.4696411010880063,97
mt5,5,nqc,3,0.0,0.11861089455549625,0.24722008852172103,0.032646048109965645,0.6356917335694203,97
mt5,5,spatial,3,0.1,0.17411175424613998,0.08807779397805802,0.1245704467353952,0.07065977324075139,97
mt5,5,a_ratio,3,0.1,0.19565060578823784,0.05478722589764216,0.02362542955326461,0.7317251099207628,97
mt5,5,nqc,3,0.1,0.11098313716271185,0.27914834638969926,0.014175257731958766,0.8370260449777805,97
mt5,5,spatial,3,0.2,0.19191117835914867,0.05968039237877677,0.13230240549828182,0.05487593045339063,97
mt5,5,a_ratio,3,0.2,0.19575636968981106,0.05465376879000584,0.02061855670103093,0.7647885664914993,97
mt5,5,nqc,3,0.2,0.1079234768809974,0.2926983696556185,0.01202749140893471,0.8614470077832815,97
mt5,5,spatial,3,0.30000000000000004,0.20717609531777983,0.04173587680037259,0.14175257731958765,0.039687194240219145,97
mt5,5,a_ratio,3,0.30000000000000004,0.1958051653792931,0.05459228645471323,0.016323024054982822,0.8127611296549226,97
mt5,5,nqc,3,0.30000000000000004,0.10627840099444308,0.30016046715260786,0.009450171821305843,0.8909259356400668,97
mt5,5,spatial,3,0.4,0.22013711339827913,0.0302618725131339,0.15249140893470792,0.026909885175764755,97
mt5,5,a_ratio,3,0.4,0.1958332444536594,0.05455693269665199,0.013745704467353953,0.841898479106889,97
mt5,5,nqc,3,0.4,0.10525176991023436,0.30487998361717944,0.007731958762886599,0.9106652645488371,97
mt5,5,spatial,3,0.5,0.23106915993107405,0.022775745855909534,0.1628006872852234,0.018155972846842318,97
mt5,5,a_ratio,3,0.5,0.19585148761457763,0.05453397319869845,0.011168384879725088,0.8712539798728897,97
mt5,5,nqc,3,0.5,0.10455019015004799,0.3081329348037199,0.005584192439862544,0.9354157588836661,97
mt5,5,spatial,3,0.6000000000000001,0.2402539533342231,0.01776969203177091,0.16451890034364264,0.016970096384742294,97
mt5,5,a_ratio,3,0.6000000000000001,0.1958642920998582,0.054517863154677215,0.015034364261168387,0.8273000875464372,97
mt5,5,nqc,3,0.6000000000000001,0.10404044078366594,0.3105105644506412,0.0030068728522336776,0.9651968510542414,97
mt5,5,spatial,3,0.7000000000000001,0.24795712276206341,0.01433301082564772,0.1709621993127148,0.013106785247853048,97
mt5,5,a_ratio,3,0.7000000000000001,0.19587377424024213,0.054505935657755675,0.01589347079037801,0.817600546341627,97
mt5,5,nqc,3,0.7000000000000001,0.10365332945400946,0.3123241120091512,0.002147766323024055,0.9751367447826097,97
mt5,5,spatial,3,0.8,0.2544166223334784,0.011911486713551273,0.16967353951890035,0.013810511589466142,97
mt5,5,a_ratio,3,0.8,0.19588107849916556,0.0544967491585351,0.015034364261168387,0.8273000875464372,97
mt5,5,nqc,3,0.8,0.10334936107273152,0.31375295361850697,0.0025773195876288664,0.9701662186124013,97
mt5,5,spatial,3,0.9,0.25983868353056483,0.010162595681173569,0.16967353951890035,0.013810511589466142,97
mt5,5,a_ratio,3,0.9,0.19588687786458345,0.05448945625524926,0.014175257731958766,0.8370260449777805,97
mt5,5,nqc,3,0.9,0.10310435227797975,0.3149077240800889,0.0025773195876288664,0.9701662186124013,97
mt5,5,spatial,3,1.0,0.26439821838771194,0.00887039851516365,0.1701030927835052,0.013572314777054699,97
mt5,5,a_ratio,3,1.0,0.19589159395328049,0.054483526200725545,0.015034364261168387,0.8273000875464372,97
mt5,5,nqc,3,1.0,0.10290266806739094,0.31586035807081836,0.0038659793814432995,0.9552623626593565,97
mt5,5,spatial,4,0.0,0.19899972811731007,0.05068896587292897,0.12929553264604812,0.060624507125192455,97
mt5,5,a_ratio,4,0.0,0.19425289451384334,0.05657616829252142,0.057130584192439875,0.4070878413580533,97
mt5,5,nqc,4,0.0,0.1197177894756299,0.2428049633999674,0.02448453608247423,0.7223661580007107,97
mt5,5,spatial,4,0.1,0.2173712753155083,0.03245599968961118,0.14518900343642613,0.03513003275683934,97
mt5,5,a_ratio,4,0.1,0.19506357676205552,0.05553283242803054,0.027491408934707907,0.6899437658549277,97
mt5,5,nqc,4,0.1,0.11108098961387805,0.2787220410424865,0.020189003436426118,0.7695487264404447,97
mt5,5,spatial,4,0.2,0.23281865802360915,0.021738587045314443,0.15764604810996566,0.022159535570441733,97
mt5,5,a_ratio,4,0.2,0.19534778579665865,0.055170815930083064,0.025773195876288665,0.708405677956768,97
mt5,5,nqc,4,0.2,0.1078470395639398,0.29304235122113886,0.014175257731958766,0.8370260449777805,97
mt5,5,spatial,4,0.30000000000000004,0.24563049913462565,0.01530436757722656,0.16151202749140894,0.01909240321886764,97
mt5,5,a_ratio,4,0.30000000000000004,0.1954925390953176,0.054987179167410354,0.021907216494845363,0.7505619727933218,97
mt5,5,nqc,4,0.30000000000000004,0.10616110353102493,0.3006972555680674,0.010309278350515465,0.8810807858527536,97
mt5,5,spatial,4,0.4,0.25615312443233007,0.01132477708414093,0.16537800687285226,0.016403064445582434,97
mt5,5,a_ratio,4,0.4,0.19558023865509833,0.05487616601957904,0.020189003436426118,0.7695487264404447,97
mt5,5,nqc,4,0.4,0.1051272643489901,0.30545562418902006,0.01202749140893471,0.8614470077832815,97
mt5,5,spatial,4,0.5,0.2647387550302518,0.008779959143702889,0.17439862542955328,0.011382836808156348,97
mt5,5,a_ratio,4,0.5,0.19563905775481366,0.054801813847094615,0.016752577319587632,0.8079288528511878,97
mt5,5,nqc,4,0.5,0.1044287183396026,0.3086984384925755,0.00859106529209622,0.9007879306638119,97
mt5,5,spatial,4,0.6000000000000001,0.2717147700022982,0.007097419945602396,0.17353951890034366,0.011793812186781842,97
mt5,5,a_ratio,4,0.6000000000000001,0.19568124394104294,0.05474853796899979,0.016752577319587632,0.8079288528511878,97
mt5,5,nqc,4,0.6000000000000001,0.10392518235450562,0.3110498130758369,0.006013745704467355,0.930459888527551,97
mt5,5,spatial,4,0.7000000000000001,0.277369153835166,0.005949644625251887,0.17268041237113405,0.01221789425088413,97
mt5,5,a_ratio,4,0.7000000000000001,0.19571297783364439,0.054708490049698015,0.01718213058419244,0.8031038928688624,97
mt5,5,nqc,4,0.7000000000000001,0.10354502549588945,0.31283272378049354,0.005584192439862544,0.9354157588836661,97
mt5,5,spatial,4,0.8,0.28194645256100304,0.005144366186402003,0.17439862542955328,0.011382836808156348,97
mt5,5,a_ratio,4,0.8,0.1957377155495222,0.05467728792838188,0.018470790378006877,0.7886746705788532,97
mt5,5,nqc,4,0.8,0.10324786236021172,0.31423100219778727,0.0038659793814432995,0.9552623626593565,97
mt5,5,spatial,4,0.9,0.2856496282682407,0.004565396005941274,0.17912371134020622,0.009341755733078497,97
mt5,5,a_ratio,4,0.9,0.19575754084679492,0.054652292472449376,0.018041237113402064,0.7934766269227447,97
mt5,5,nqc,4,0.9,0.10300919541348667,0.3153569556541241,0.0038659793814432995,0.9552623626593565,97
mt5,5,spatial,4,1.0,0.2886446809334006,0.004140397251681875,0.18041237113402064,0.008845012615594157,97
mt5,5,a_ratio,4,1.0,0.19577378475099694,0.05463181937745505,0.016752577319587632,0.8079288528511878,97
mt5,5,nqc,4,1.0,0.10281330307626146,0.31628305886222136,0.0034364261168384883,0.9602288348688062,97
mt5,5,spatial,5,0.0,0.2615651329316473,0.009655101605315703,0.1670962199312715,0.015318729327102553,97
mt5,5,a_ratio,5,0.0,0.19276863154390644,0.05852798135739542,0.08805841924398626,0.2013104039967497,97
mt5,5,nqc,5,0.0,0.1431343046829095,0.16191871089416562,0.04424398625429554,0.52085358029868,97
mt5,5,spatial,5,0.1,0.27275793287151634,0.0068720074595716935,0.17353951890034366,0.011793812186781842,97
mt5,5,a_ratio,5,0.1,0.1939956368465102,0.05691059130278141,0.04553264604810997,0.5087854171288679,97
mt5,5,nqc,5,0.1,0.11895898809949645,0.24582570796457104,0.023195876288659798,0.7364196981955502,97
mt5,5,spatial,5,0.2,0.28202670563515425,0.005131157286330169,0.17740549828178698,0.010042744211065484,97
mt5,5,a_ratio,5,0.2,0.19453919013947216,0.05620589139928785,0.0425257731958763,0.5371707606067591,97
mt5,5,nqc,5,0.2,0.11226071461566449,0.2736167413920788,0.01975945017182131,0.7743175870264136,97
mt5,5,spatial,5,0.30000000000000004,0.28962587504501813,0.004009056189878425,0.17998281786941583,0.009007907605249525,97
mt5,5,a_ratio,5,0.30000000000000004,0.19484535338206815,0.0558121185084583,0.03780068728522337,0.5833275904873889,97
mt5,5,nqc,5,0.30000000000000004,0.10916687953888396,0.2871403096974254,0.01718213058419244,0.8031038928688624,97
mt5,5,spatial,5,0.4,0.2958032887112714,0.003264288127208229,0.1859965635738832,0.006954397086601862,97
mt5,5,a_ratio,5,0.4,0.1950416428456976,0.05556085193122577,0.03479381443298969,0.6136308097551222,97
mt5,5,nqc,5,0.4,0.1073885834875639,0.2951110873324102,0.01202749140893471,0.8614470077832815,97
mt5,5,spatial,5,0.5,0.3007868502925315,0.0027565852473342713,0.18256013745704472,0.00806936233603351,97
mt5,5,a_ratio,5,0.5,0.1951781680283861,0.055386636029948075,0.03178694158075602,0.6446089162462232,97
mt5,5,nqc,5,0.5,0.10623456592590892,0.30036099597087235,0.009450171821305843,0.8909259356400668,97
mt5,5,spatial,5,0.6000000000000001,0.3047781323643679,0.0024024394046703247,0.18556701030927839,0.00708575590459897,97
mt5,5,a_ratio,5,0.6000000000000001,0.19527860310303075,0.05525875990745256,0.028780068728522342,0.6762167162300601,97
mt5,5,nqc,5,0.6000000000000001,0.10542537700293782,0.3040785098920216,0.009450171821305843,0.8909259356400668,97
mt5,5,spatial,5,0.7000000000000001,0.3079506820880427,0.002150772902736464,0.1911512027491409,0.005540236417616152,97
mt5,5,a_ratio,5,0.7000000000000001,0.19535558177160067,0.05516091300833619,0.028780068728522342,0.6762167162300601,97
mt5,5,nqc,5,0.7000000000000001,0.10482662109820741,0.30684854490786695,0.009450171821305843,0.8909259356400668,97
mt5,5,spatial,5,0.8,0.3104511325619601,0.0019694606535173333,0.18771477663230243,0.006450561996249079,97
mt5,5,a_ratio,5,0.8,0.19541645915709355,0.05508363298848984,0.027061855670103097,0.6945424903122657,97
mt5,5,nqc,5,0.8,0.10436568689834252,0.30899214300688715,0.009020618556701032,0.8958549214709819,97
mt5,5,spatial,5,0.9,0.31240176458201585,0.0018377319649468906,0.18513745704467358,0.007219338175415614,97
mt5,5,a_ratio,5,0.9,0.19546580717830872,0.055021053974644796,0.027061855670103097,0.6945424903122657,97
mt5,5,nqc,5,0.9,0.10399991383163185,0.3107001047750193,0.008161512027491411,0.9057247746831294,97
mt5,5,spatial,5,1.0,0.3139036398542131,0.0017417946415979803,0.1859965635738832,0.006954397086601862,97
mt5,5,a_ratio,5,1.0,0.1955066169325982,0.0549693465474295,0.026202749140893475,0.7037735989090746,97
mt5,5,nqc,5,1.0,0.10370259689127412,0.312092922202748,0.007731958762886599,0.9106652645488371,97
mt5,5,spatial,6,0.0,0.28326107884489904,0.0049317566812913105,0.17439862542955328,0.011382836808156348,97
mt5,5,a_ratio,6,0.0,0.19265751610130918,0.05867628601256061,0.0893470790378007,0.19479398827541883,97
mt5,5,nqc,6,0.0,0.15631050512771755,0.12627999880003077,0.05111683848797252,0.4582309196968538,97
mt5,5,spatial,6,0.1,0.2939474290161893,0.003473804136234566,0.17998281786941583,0.009007907605249525,97
mt5,5,a_ratio,6,0.1,0.19380964172377527,0.05715338301018764,0.04982817869415808,0.4696411010880063,97
mt5,5,nqc,6,0.1,0.12749896704672686,0.21330577418189803,0.029639175257731964,0.6671244311500414,97
